,Номер,Дата,Команда_1,Команда_2,Период_1,Период_2,Период_3,Овертайм,Буллиты
37,38,2012-09-10,Лев Пр,Донбасс,1:0,0:0,0:0,:,:
38,39,2012-09-12,Металлург Мг,Динамо М,1:0,0:0,1:0,:,:
39,40,2012-09-13,Авангард,Салават Юлаев,0:0,0:0,1:1,0:0,1:0
40,41,2012-09-13,Барыс,Ак Барс,0:0,0:2,1:1,:,:
41,42,2012-09-13,Югра,Нефтехимик,0:0,2:0,0:3,:,:
42,43,2012-09-13,Трактор,СКА,1:3,0:0,1:0,:,:
43,44,2012-09-13,Северсталь,ЦСКА,0:1,0:0,1:0,0:1,:
44,45,2012-09-13,Витязь,Лев Пр,0:0,0:0,0:2,:,:
45,46,2012-09-13,Атлант,Амур,1:1,1:1,1:0,:,:
46,47,2012-09-13,Спартак,Металлург Нк,0:1,0:1,0:1,:,:
47,48,2012-09-13,Динамо Мн,Слован,1:2,1:0,2:1,:,:
48,49,2012-09-13,Динамо Р,Сибирь,1:0,0:1,0:1,:,:
49,50,2012-09-14,Автомобилист,Динамо М,1:2,0:0,2:1,0:0,0:1
50,51,2012-09-14,Торпедо НН,Локомотив,1:1,4:2,1:0,:,:
51,52,2012-09-15,Авангард,Нефтехимик,0:1,0:1,2:4,:,:
52,53,2012-09-15,Барыс,Салават Юлаев,1:1,0:1,2:0,:,:
53,54,2012-09-15,Югра,Ак Барс,0:0,1:0,1:0,:,:
54,55,2012-09-15,Металлург Мг,СКА,1:0,0:1,3:2,:,:
55,56,2012-09-15,Северсталь,Лев Пр,0:1,2:1,0:0,0:0,0:1
56,57,2012-09-15,Витязь,Слован,0:2,0:1,0:0,:,:
57,58,2012-09-15,Спартак,Амур,1:0,2:1,0:0,:,:
58,59,2012-09-15,Донбасс,Сибирь,0:1,1:0,1:1,0:0,0:1
59,60,2012-09-15,Динамо Мн,ЦСКА,1:0,1:1,1:0,:,:
60,61,2012-09-15,Динамо Р,Металлург Нк,0:1,1:0,2:0,:,:
61,62,2012-09-16,Трактор,Динамо М,2:1,2:0,0:0,:,:
62,63,2012-09-16,Локомотив,Атлант,1:0,0:0,0:2,:,:
63,64,2012-09-17,Авангард,Ак Барс,0:2,0:0,0:3,:,:
64,65,2012-09-17,Барыс,Нефтехимик,0:0,1:2,1:0,0:1,:
65,66,2012-09-17,Югра,Салават Юлаев,0:0,1:1,0:2,:,:
66,67,2012-09-17,Витязь,ЦСКА,1:3,2:1,1:0,0:0,0:1
67,68,2012-09-17,Спартак,Сибирь,1:0,0:3,2:2,:,:
68,69,2012-09-17,Донбасс,Металлург Нк,1:1,1:2,1:0,0:0,0:1
69,70,2012-09-17,Динамо Мн,Лев Пр,0:1,0:2,0:1,:,:
70,71,2012-09-17,Динамо Р,Амур,0:1,1:0,1:0,:,:
71,72,2012-09-17,Слован,СКА,2:1,0:1,2:0,:,:
72,73,2012-09-19,Торпедо НН,Нефтехимик,1:1,1:1,0:0,0:0,0:1
73,74,2012-09-19,Донбасс,Амур,0:0,2:2,0:1,:,:
74,75,2012-09-20,Металлург Нк,Северсталь,2:1,1:2,0:2,:,:
75,76,2012-09-20,Сибирь,Витязь,1:0,0:1,1:1,0:0,1:0
76,77,2012-09-20,Автомобилист,Югра,2:1,1:0,1:2,:,:
77,78,2012-09-20,Салават Юлаев,Металлург Мг,1:0,2:2,0:1,1:0,:
78,79,2012-09-20,Ак Барс,Трактор,1:1,1:1,4:0,:,:
79,80,2012-09-20,Динамо М,Динамо Мн,0:1,4:1,3:0,:,:
80,81,2012-09-20,ЦСКА,Барыс,0:0,1:2,0:1,:,:
81,82,2012-09-20,Лев Пр,Авангард,1:1,0:0,2:0,:,:
82,83,2012-09-21,Локомотив,Спартак,1:1,2:0,1:1,:,:
83,84,2012-09-21,Атлант,Динамо Р,3:0,0:2,2:0,:,:
84,85,2012-09-22,Амур,Северсталь,0:1,0:1,1:1,:,:
85,86,2012-09-22,Металлург Нк,Витязь,0:3,0:0,0:0,:,:
86,87,2012-09-22,Сибирь,Динамо Мн,1:0,1:0,0:1,:,:
87,88,2012-09-22,Салават Юлаев,Автомобилист,1:0,1:1,0:0,:,:
88,89,2012-09-22,Нефтехимик,Трактор,0:2,0:0,1:1,:,:
89,90,2012-09-22,Ак Барс,Металлург Мг,1:1,0:0,0:0,0:0,1:0
90,91,2012-09-22,ЦСКА,Югра,1:1,2:0,1:1,:,:
91,92,2012-09-22,Слован,Авангард,1:0,2:2,1:0,:,:
92,93,2012-09-22,Лев Пр,Барыс,1:3,1:1,0:0,:,:
93,94,2012-09-23,Торпедо НН,Спартак,0:0,3:0,0:0,:,:
94,95,2012-09-23,Локомотив,Динамо Р,0:0,0:1,1:0,0:0,1:0
95,96,2012-09-23,Атлант,Донбасс,0:0,2:0,0:2,0:0,0:1
96,97,2012-09-23,Динамо М,СКА,1:1,0:1,0:1,:,:
97,98,2012-09-24,Амур,Витязь,1:0,1:2,1:0,:,:
98,99,2012-09-24,Металлург Нк,Динамо Мн,3:1,1:2,1:1,:,:
99,100,2012-09-24,Сибирь,Северсталь,2:0,1:0,0:0,:,:
100,101,2012-09-24,Салават Юлаев,Трактор,1:1,0:0,0:3,:,:
101,102,2012-09-24,Нефтехимик,Металлург Мг,0:1,2:4,0:2,:,:
102,103,2012-09-24,Ак Барс,Автомобилист,0:0,3:0,3:1,:,:
103,104,2012-09-24,ЦСКА,Авангард,0:0,1:0,0:0,:,:
104,105,2012-09-24,Слован,Барыс,2:0,1:1,1:1,:,:
105,106,2012-09-24,Лев Пр,Югра,2:0,2:0,0:0,:,:
106,107,2012-09-25,Торпедо НН,Динамо Р,1:1,1:0,1:1,:,:
107,108,2012-09-25,Локомотив,Донбасс,0:0,0:1,2:0,:,:
108,109,2012-09-25,Спартак,Атлант,1:1,0:1,1:3,:,:
109,110,2012-09-26,Амур,Динамо Мн,1:1,0:2,1:0,:,:
110,111,2012-09-26,Нефтехимик,Автомобилист,1:1,0:0,3:1,:,:
111,112,2012-09-26,Ак Барс,Динамо М,2:1,0:1,0:0,0:0,0:1
112,113,2012-09-26,Слован,Югра,0:2,2:0,1:1,0:0,1:0
113,114,2012-09-27,Авангард,Металлург Нк,0:0,2:1,0:1,1:0,:
114,115,2012-09-27,Барыс,Сибирь,1:0,1:0,0:1,:,:
115,116,2012-09-27,Трактор,ЦСКА,1:1,0:0,3:2,:,:
116,117,2012-09-27,Металлург Мг,Лев Пр,1:1,5:0,0:0,:,:
117,118,2012-09-27,Торпедо НН,Донбасс,0:1,2:2,1:0,0:0,0:1
118,119,2012-09-27,СКА,Салават Юлаев,0:1,4:1,3:0,:,:
119,120,2012-09-28,Северсталь,Локомотив,0:1,0:0,0:0,:,:
120,121,2012-09-28,Витязь,Атлант,0:0,4:2,0:2,0:0,0:1
121,122,2012-09-28,Динамо Р,Спартак,2:1,2:2,1:1,:,:
122,123,2012-09-29,Авангард,Амур,1:1,2:0,1:0,:,:
123,124,2012-09-29,Барыс,Металлург Нк,1:0,0:2,0:3,:,:
124,125,2012-09-29,Югра,Сибирь,2:1,0:1,0:0,0:0,0:1
125,126,2012-09-29,Автомобилист,ЦСКА,0:1,0:1,0:1,:,:
126,127,2012-09-29,Трактор,Лев Пр,2:2,1:0,2:0,:,:
127,128,2012-09-29,Металлург Мг,Слован,1:0,1:0,1:2,:,:
128,129,2012-09-29,Динамо М,Салават Юлаев,1:2,1:0,1:1,0:0,1:0
129,130,2012-09-30,Северсталь,Торпедо НН,1:1,0:1,3:0,:,:
130,131,2012-09-30,Витязь,Локомотив,0:0,0:0,0:2,:,:
131,132,2012-09-30,Донбасс,Спартак,0:0,0:0,0:0,0:0,0:1
132,133,2012-09-30,Динамо Мн,Атлант,1:2,2:0,0:0,:,:
133,134,2012-10-01,Авангард,Сибирь,1:0,0:1,0:0,1:0,:
134,135,2012-10-01,Барыс,Амур,1:1,1:0,1:0,:,:
135,136,2012-10-01,Югра,Металлург Нк,2:1,0:1,2:1,:,:
136,137,2012-10-01,Автомобилист,Лев Пр,2:1,0:2,1:2,:,:
137,138,2012-10-01,Трактор,Слован,1:0,2:1,0:0,:,:
138,139,2012-10-01,Металлург Мг,ЦСКА,0:1,1:0,0:0,0:0,0:1
139,140,2012-10-01,СКА,Ак Барс,1:1,4:0,0:1,:,:
140,141,2012-10-01,Динамо М,Нефтехимик,2:0,1:0,2:1,:,:
141,142,2012-10-01,Динамо Р,Салават Юлаев,1:1,0:1,1:0,0:1,:
142,143,2012-10-02,Северсталь,Атлант,1:0,2:0,1:0,:,:
143,144,2012-10-02,Витязь,Торпедо НН,0:1,1:1,3:0,:,:
144,145,2012-10-02,Динамо Мн,Локомотив,1:2,0:0,0:0,:,:
145,146,2012-10-03,Югра,Амур,3:1,1:2,2:1,:,:
146,147,2012-10-03,Автомобилист,Слован,0:0,0:1,0:0,:,:
147,148,2012-10-03,СКА,Нефтехимик,2:1,0:0,0:1,0:0,0:1
148,149,2012-10-03,Динамо М,Ак Барс,0:0,1:0,1:0,:,:
149,150,2012-10-03,Донбасс,Динамо Р,2:1,0:1,2:0,:,:
150,151,2012-10-04,Металлург Нк,Трактор,0:1,0:2,0:3,:,:
151,152,2012-10-04,Сибирь,Металлург Мг,0:0,1:1,0:1,:,:
152,153,2012-10-04,Спартак,ЦСКА,0:0,0:1,1:0,0:1,:
153,154,2012-10-04,Динамо Мн,Торпедо НН,0:2,0:0,0:1,:,:
154,155,2012-10-05,Салават Юлаев,Нефтехимик,1:0,2:2,2:0,:,:
155,156,2012-10-05,Спартак,Северсталь,1:0,0:2,1:0,1:0,:
156,157,2012-10-05,Динамо Р,Витязь,0:0,0:0,1:1,1:0,:
157,158,2012-10-06,Амур,Трактор,2:0,0:0,0:1,:,:
158,159,2012-10-06,Металлург Нк,Металлург Мг,0:0,2:1,2:0,:,:
159,160,2012-10-06,Сибирь,Автомобилист,0:0,1:1,2:1,:,:
160,161,2012-10-06,Локомотив,Авангард,0:1,0:2,2:2,:,:
161,162,2012-10-06,Атлант,Барыс,0:1,1:1,0:1,:,:
162,163,2012-10-06,Лев Пр,СКА,0:2,2:1,1:1,:,:
163,164,2012-10-07,Ак Барс,Салават Юлаев,2:1,1:1,0:1,0:0,0:1
164,165,2012-10-07,Спартак,Динамо Мн,1:0,3:0,0:1,:,:
165,166,2012-10-07,Донбасс,Витязь,0:1,1:0,0:1,:,:
166,167,2012-10-07,Динамо Р,Северсталь,0:0,0:1,0:0,:,:
167,168,2012-10-07,Слован,Динамо М,0:2,1:0,1:1,:,:
168,169,2012-10-08,Амур,Металлург Мг,0:0,0:1,0:2,:,:
169,170,2012-10-08,Металлург Нк,Автомобилист,0:1,1:1,1:0,0:0,0:1
170,171,2012-10-08,Сибирь,Трактор,2:1,0:0,0:0,:,:
171,172,2012-10-08,Торпедо НН,Авангард,2:1,1:1,4:1,:,:
172,173,2012-10-08,Локомотив,Барыс,0:0,3:0,1:2,:,:
173,174,2012-10-08,Атлант,Югра,1:1,3:0,0:1,:,:
174,175,2012-10-08,ЦСКА,СКА,1:0,1:1,0:3,:,:
175,176,2012-10-09,Донбасс,Северсталь,0:0,2:0,2:1,:,:
176,177,2012-10-09,Динамо Р,Динамо Мн,1:1,0:0,0:0,1:0,:
177,178,2012-10-09,Лев Пр,Динамо М,0:0,0:0,0:1,:,:
178,179,2012-10-10,Амур,Автомобилист,2:0,1:1,2:0,:,:
179,180,2012-10-10,Салават Юлаев,Ак Барс,1:1,0:0,1:1,0:0,0:1
180,181,2012-10-10,Торпедо НН,Барыс,0:0,2:2,3:2,:,:
181,182,2012-10-10,Локомотив,Югра,0:1,0:1,2:1,:,:
182,183,2012-10-10,Атлант,Авангард,0:1,2:1,1:1,0:1,:
183,184,2012-10-10,Спартак,Витязь,0:0,1:0,1:2,0:0,0:1
184,185,2012-10-11,Сибирь,Металлург Нк,0:0,1:5,2:0,:,:
185,186,2012-10-11,Нефтехимик,Слован,1:1,2:1,1:2,0:0,0:1
186,187,2012-10-11,Донбасс,Динамо Мн,1:3,0:2,3:0,:,:
187,188,2012-10-12,Торпедо НН,Югра,2:0,2:1,2:1,:,:
188,189,2012-10-13,Авангард,Динамо Р,1:1,1:1,2:0,:,:
189,190,2012-10-13,Барыс,Спартак,2:0,3:0,0:1,:,:
190,191,2012-10-13,Автомобилист,СКА,2:3,2:2,1:1,:,:
191,192,2012-10-13,Трактор,Атлант,1:0,0:2,3:0,:,:
192,193,2012-10-13,Металлург Мг,Локомотив,1:0,1:0,0:2,0:0,0:1
193,194,2012-10-13,Салават Юлаев,Слован,0:0,0:1,2:1,0:0,1:0
194,195,2012-10-13,Нефтехимик,ЦСКА,4:1,0:2,0:1,0:1,:
195,196,2012-10-13,Ак Барс,Лев Пр,0:1,2:0,2:1,:,:
196,197,2012-10-13,Витязь,Донбасс,0:0,0:1,0:0,:,:
197,198,2012-10-13,Динамо М,Металлург Нк,1:0,2:0,0:2,:,:
198,199,2012-10-14,Динамо М,Амур,0:0,4:1,0:0,:,:
199,200,2012-10-15,Авангард,Донбасс,1:0,1:0,0:1,:,:
200,201,2012-10-15,Барыс,Динамо Р,0:0,1:0,4:0,:,:
201,202,2012-10-15,Югра,Спартак,1:1,3:1,2:1,:,:
202,203,2012-10-15,Автомобилист,Атлант,0:0,0:0,1:0,:,:
203,204,2012-10-15,Трактор,Локомотив,1:1,0:1,1:0,0:0,0:1
204,205,2012-10-15,Металлург Мг,Торпедо НН,1:1,2:0,0:1,:,:
205,206,2012-10-15,Салават Юлаев,ЦСКА,0:1,0:2,1:1,:,:
206,207,2012-10-15,Нефтехимик,Лев Пр,0:0,2:1,0:1,0:0,1:0
207,208,2012-10-15,Ак Барс,Слован,1:1,0:1,1:0,0:0,0:1
208,209,2012-10-15,Северсталь,Витязь,0:0,1:1,0:2,:,:
209,210,2012-10-15,СКА,Металлург Нк,0:1,1:1,3:0,:,:
210,211,2012-10-16,СКА,Амур,4:1,1:2,2:0,:,:
211,212,2012-10-16,Динамо М,Сибирь,1:0,0:0,1:2,0:1,:
212,213,2012-10-17,Авангард,Спартак,1:0,1:2,3:1,:,:
213,214,2012-10-17,Барыс,Донбасс,1:1,1:0,4:0,:,:
214,215,2012-10-17,Югра,Динамо Р,0:0,4:3,0:0,:,:
215,216,2012-10-17,Автомобилист,Локомотив,2:1,0:2,1:0,0:1,:
216,217,2012-10-17,Трактор,Торпедо НН,0:2,3:0,3:1,:,:
217,218,2012-10-17,Металлург Мг,Атлант,0:0,1:1,2:0,:,:
218,219,2012-10-17,Салават Юлаев,Лев Пр,3:1,0:1,1:0,:,:
219,220,2012-10-17,Ак Барс,ЦСКА,2:0,0:1,3:1,:,:
220,221,2012-10-17,Северсталь,Слован,1:0,2:0,3:0,:,:
221,222,2012-10-17,Динамо Мн,Витязь,0:0,1:1,2:0,:,:
222,223,2012-10-18,СКА,Сибирь,0:0,2:0,0:0,:,:
223,224,2012-10-19,Металлург Нк,Нефтехимик,1:1,3:2,1:1,:,:
224,225,2012-10-19,Югра,Донбасс,0:1,1:0,2:0,:,:
225,226,2012-10-19,Автомобилист,Торпедо НН,3:3,0:1,0:1,:,:
226,227,2012-10-19,ЦСКА,Лев Пр,0:0,1:0,2:0,:,:
227,228,2012-10-20,Северсталь,Авангард,1:0,0:1,1:1,0:0,0:1
228,229,2012-10-20,Атлант,Динамо М,0:1,1:2,0:1,:,:
229,230,2012-10-21,Амур,Нефтехимик,1:2,0:0,0:0,:,:
230,231,2012-10-21,Металлург Нк,Салават Юлаев,2:1,0:1,2:1,:,:
231,232,2012-10-21,Сибирь,Ак Барс,1:0,0:1,2:0,:,:
232,233,2012-10-21,Спартак,Трактор,1:0,0:1,3:3,0:0,0:1
233,234,2012-10-22,Северсталь,Югра,0:2,3:0,1:1,:,:
234,235,2012-10-22,Витязь,Барыс,0:2,1:0,1:0,0:0,1:0
235,236,2012-10-22,Локомотив,Динамо М,0:2,0:0,0:1,:,:
236,237,2012-10-22,Атлант,СКА,0:0,1:2,1:1,:,:
237,238,2012-10-22,Донбасс,Автомобилист,2:2,2:0,0:0,:,:
238,239,2012-10-22,Динамо Мн,Авангард,2:1,0:1,0:0,1:0,:
239,240,2012-10-22,Динамо Р,Металлург Мг,1:1,1:1,0:3,:,:
240,241,2012-10-23,Амур,Салават Юлаев,1:0,2:1,2:1,:,:
241,242,2012-10-23,Металлург Нк,Ак Барс,1:0,0:0,0:2,:,:
242,243,2012-10-23,Сибирь,Нефтехимик,1:0,2:4,1:1,:,:
243,244,2012-10-23,Динамо Р,Трактор,0:1,2:0,1:4,:,:
244,245,2012-10-23,Слован,ЦСКА,0:2,2:1,0:0,:,:
245,246,2012-10-24,Торпедо НН,Динамо М,1:0,3:0,0:0,:,:
246,247,2012-10-24,Северсталь,Барыс,1:1,0:0,1:1,0:0,1:0
247,248,2012-10-24,Локомотив,СКА,2:1,0:0,0:0,:,:
248,249,2012-10-24,Витязь,Авангард,0:0,1:2,0:1,:,:
249,250,2012-10-24,Спартак,Автомобилист,4:0,0:1,2:0,:,:
250,251,2012-10-24,Донбасс,Металлург Мг,0:1,3:1,0:1,1:0,:
251,252,2012-10-24,Динамо Мн,Югра,0:0,1:2,1:1,:,:
252,253,2012-10-25,Амур,Ак Барс,2:2,0:0,0:0,0:0,0:1
253,254,2012-10-25,Сибирь,Салават Юлаев,0:0,0:0,0:2,:,:
254,255,2012-10-25,Донбасс,Трактор,1:0,1:1,0:1,0:0,1:0
255,256,2012-10-25,Лев Пр,ЦСКА,0:0,0:2,2:1,:,:
256,257,2012-10-26,Торпедо НН,СКА,0:2,1:0,3:0,:,:
257,258,2012-10-26,Витязь,Югра,0:0,3:1,0:2,0:0,0:1
258,259,2012-10-26,Спартак,Металлург Мг,1:1,0:5,1:1,:,:
259,260,2012-10-26,Динамо Мн,Барыс,1:0,0:1,0:0,1:0,:
260,261,2012-10-26,Динамо Р,Автомобилист,2:2,3:1,1:0,:,:
261,262,2012-10-27,Нефтехимик,Атлант,1:2,3:1,1:2,1:0,:
262,263,2012-10-27,Локомотив,Северсталь,0:0,1:0,1:0,:,:
263,264,2012-10-27,Слован,Металлург Нк,1:0,1:2,0:2,:,:
264,265,2012-10-28,Авангард,Югра,3:0,0:1,2:1,:,:
265,266,2012-10-28,ЦСКА,Сибирь,1:1,1:0,2:1,:,:
266,267,2012-10-29,Автомобилист,Северсталь,0:2,0:0,1:0,:,:
267,268,2012-10-29,Трактор,Витязь,1:0,2:2,0:1,0:0,0:1
268,269,2012-10-29,Металлург Мг,Динамо Мн,1:0,3:1,3:1,:,:
269,270,2012-10-29,Салават Юлаев,Торпедо НН,3:0,0:1,0:1,:,:
270,271,2012-10-29,Нефтехимик,Локомотив,1:0,0:0,0:1,0:0,0:1
271,272,2012-10-29,Ак Барс,Атлант,0:0,2:1,1:0,:,:
272,273,2012-10-29,СКА,Спартак,2:0,1:1,1:0,:,:
273,274,2012-10-29,Динамо М,Динамо Р,1:0,0:0,2:1,:,:
274,275,2012-10-29,Слован,Амур,3:0,0:2,1:0,:,:
275,276,2012-10-29,Лев Пр,Металлург Нк,2:0,0:2,0:0,0:1,:
276,277,2012-10-30,Слован,Сибирь,1:1,3:1,2:0,:,:
277,278,2012-10-31,Барыс,Авангард,2:1,0:2,1:2,:,:
278,279,2012-10-31,Автомобилист,Витязь,1:1,1:1,2:2,0:0,0:1
279,280,2012-10-31,Трактор,Динамо Мн,0:0,1:0,1:0,:,:
280,281,2012-10-31,Металлург Мг,Северсталь,1:1,2:0,2:1,:,:
281,282,2012-10-31,Салават Юлаев,Атлант,2:1,1:0,2:2,:,:
282,283,2012-10-31,Нефтехимик,Торпедо НН,0:0,2:1,2:1,:,:
283,284,2012-10-31,Ак Барс,Локомотив,0:0,1:1,0:1,:,:
284,285,2012-10-31,СКА,Динамо Р,1:3,1:0,1:1,:,:
285,286,2012-10-31,Динамо М,Донбасс,2:0,1:1,1:1,:,:
286,287,2012-10-31,ЦСКА,Металлург Нк,1:0,2:0,0:5,:,:
287,288,2012-10-31,Лев Пр,Амур,1:2,2:0,2:0,:,:
288,289,2012-11-01,Лев Пр,Сибирь,1:1,0:1,2:3,:,:
289,290,2012-11-02,Югра,Авангард,0:0,0:0,0:2,:,:
290,291,2012-11-02,Автомобилист,Динамо Мн,3:1,0:2,0:0,0:1,:
291,292,2012-11-02,Трактор,Северсталь,0:1,2:0,1:0,:,:
292,293,2012-11-02,Металлург Мг,Витязь,0:0,1:1,3:0,:,:
293,294,2012-11-02,Салават Юлаев,Локомотив,1:1,0:1,2:1,0:0,0:1
294,295,2012-11-02,Ак Барс,Торпедо НН,1:0,1:0,2:0,:,:
295,296,2012-11-02,СКА,Донбасс,3:0,1:2,5:0,:,:
296,297,2012-11-02,Динамо М,Спартак,3:0,2:1,0:1,:,:
297,298,2012-11-02,ЦСКА,Амур,2:1,4:1,0:0,:,:
298,299,2012-11-03,Лев Пр,Слован,0:1,0:1,1:0,:,:
299,300,2012-11-04,Динамо Р,Динамо Мн,0:1,0:1,0:0,:,:
300,301,2012-11-14,Авангард,Металлург Мг,0:1,2:0,0:1,1:0,:
301,302,2012-11-14,Барыс,Трактор,0:2,3:3,0:1,:,:
302,303,2012-11-14,Югра,Автомобилист,0:0,0:1,1:0,0:0,1:0
303,304,2012-11-14,Торпедо НН,Лев Пр,1:2,0:1,1:0,:,:
304,305,2012-11-14,Локомотив,Слован,1:0,1:0,2:0,:,:
305,306,2012-11-14,Витязь,Динамо М,2:1,1:0,0:2,0:1,:
306,307,2012-11-14,Атлант,ЦСКА,0:1,0:0,0:1,:,:
307,308,2012-11-14,Спартак,Салават Юлаев,1:2,0:0,1:0,0:0,0:1
308,309,2012-11-14,Донбасс,Нефтехимик,1:0,1:1,0:1,0:0,1:0
309,310,2012-11-14,Динамо Мн,СКА,0:2,1:0,0:2,:,:
310,311,2012-11-14,Динамо Р,Ак Барс,0:2,0:0,0:1,:,:
311,312,2012-11-15,Металлург Нк,Амур,0:0,0:0,4:2,:,:
312,313,2012-11-16,Авангард,Трактор,1:1,1:2,1:0,0:0,0:1
313,314,2012-11-16,Барыс,Автомобилист,3:1,1:1,3:0,:,:
314,315,2012-11-16,Югра,Металлург Мг,1:1,1:0,1:1,:,:
315,316,2012-11-16,Торпедо НН,ЦСКА,1:3,0:1,0:2,:,:
316,317,2012-11-16,Локомотив,Лев Пр,0:0,0:1,1:0,1:0,:
317,318,2012-11-16,Северсталь,Динамо М,1:0,1:1,2:1,:,:
318,319,2012-11-16,Витязь,СКА,2:1,0:0,0:2,:,:
319,320,2012-11-16,Атлант,Слован,0:1,0:1,0:0,:,:
320,321,2012-11-16,Спартак,Ак Барс,0:2,1:0,0:1,:,:
321,322,2012-11-16,Донбасс,Салават Юлаев,0:1,2:0,2:0,:,:
322,323,2012-11-16,Динамо Р,Нефтехимик,3:2,3:2,0:0,:,:
323,324,2012-11-17,Сибирь,Амур,2:0,0:2,1:0,:,:
324,325,2012-11-18,Авангард,Автомобилист,1:0,1:0,1:0,:,:
325,326,2012-11-18,Барыс,Металлург Мг,2:2,1:3,0:0,:,:
326,327,2012-11-18,Югра,Трактор,0:0,1:0,0:1,1:0,:
327,328,2012-11-18,Торпедо НН,Слован,0:1,2:0,0:1,0:0,1:0
328,329,2012-11-18,Северсталь,СКА,1:1,2:1,0:1,0:0,1:0
329,330,2012-11-18,Локомотив,ЦСКА,0:2,3:0,0:0,:,:
330,331,2012-11-18,Атлант,Лев Пр,1:0,1:0,0:1,:,:
331,332,2012-11-18,Спартак,Нефтехимик,0:0,0:0,2:1,:,:
332,333,2012-11-18,Донбасс,Ак Барс,1:0,1:1,0:1,1:0,:
333,334,2012-11-18,Динамо Мн,Динамо М,0:0,1:2,1:0,0:1,:
334,335,2012-11-19,Сибирь,Металлург Нк,1:0,1:0,0:0,:,:
335,336,2012-11-20,Динамо М,Витязь,0:1,1:0,2:1,:,:
336,337,2012-11-21,Амур,Металлург Нк,0:0,3:1,2:0,:,:
337,338,2012-11-21,Автомобилист,Югра,0:1,1:0,0:0,0:0,0:1
338,339,2012-11-21,Трактор,Барыс,0:2,0:1,0:0,:,:
339,340,2012-11-21,Металлург Мг,Авангард,0:1,1:1,0:0,:,:
340,341,2012-11-21,Салават Юлаев,Спартак,1:1,2:0,1:0,:,:
341,342,2012-11-21,Нефтехимик,Донбасс,0:1,0:0,3:2,0:0,1:0
342,343,2012-11-21,Ак Барс,Динамо Р,2:1,3:1,1:0,:,:
343,344,2012-11-21,СКА,Северсталь,1:0,0:0,2:2,:,:
344,345,2012-11-21,ЦСКА,Локомотив,0:0,0:3,0:1,:,:
345,346,2012-11-21,Слован,Торпедо НН,0:2,0:2,1:0,:,:
