,Номер,Дата,Команда_1,Команда_2,Период_1,Период_2,Период_3,Овертайм,Буллиты
0,1,2012-09-04,Динамо М,Авангард,0:1,1:0,1:1,0:0,1:0
1,2,2012-09-05,Амур,Атлант,1:1,1:0,1:0,:,:
2,3,2012-09-05,ЦСКА,Спартак,0:0,0:1,0:0,:,:
3,4,2012-09-06,Амур,Атлант,1:2,1:0,0:0,1:0,:
4,5,2012-09-06,Металлург Нк,Торпедо НН,2:0,0:1,0:1,1:0,:
5,6,2012-09-06,Сибирь,Локомотив,1:1,1:3,0:1,:,:
6,7,2012-09-06,Трактор,Металлург Мг,0:0,1:0,1:0,:,:
7,8,2012-09-06,Салават Юлаев,Витязь,1:1,0:1,1:0,0:0,0:1
8,9,2012-09-06,Нефтехимик,Динамо Мн,3:0,0:0,0:0,:,:
9,10,2012-09-06,Ак Барс,Северсталь,4:1,0:0,1:1,:,:
10,11,2012-09-06,СКА,Авангард,0:2,1:0,0:0,:,:
11,12,2012-09-06,Динамо М,Барыс,2:0,1:0,2:1,:,:
12,13,2012-09-06,Слован,Донбасс,1:1,1:1,0:2,:,:
13,14,2012-09-06,Лев Пр,Динамо Р,0:1,1:0,1:0,:,:
14,15,2012-09-08,Амур,Локомотив,0:1,1:1,0:0,:,:
15,16,2012-09-08,Металлург Нк,Атлант,1:1,1:2,1:0,0:0,0:1
16,17,2012-09-08,Сибирь,Торпедо НН,1:1,2:0,2:2,:,:
17,18,2012-09-08,Автомобилист,Металлург Мг,0:0,2:0,1:1,:,:
18,19,2012-09-08,Салават Юлаев,Северсталь,0:2,1:1,0:0,:,:
19,20,2012-09-08,Нефтехимик,Витязь,0:1,3:2,1:1,0:0,0:1
20,21,2012-09-08,Ак Барс,Динамо Мн,1:0,0:0,1:2,0:1,:
21,22,2012-09-08,СКА,Барыс,3:1,1:1,3:1,:,:
22,23,2012-09-08,Динамо М,Югра,2:1,1:2,2:0,:,:
23,24,2012-09-08,ЦСКА,Донбасс,0:1,2:1,3:1,:,:
24,25,2012-09-08,Слован,Динамо Р,0:1,1:1,1:0,0:0,0:1
25,26,2012-09-08,Лев Пр,Спартак,1:0,0:1,0:3,:,:
26,27,2012-09-10,Амур,Торпедо НН,1:1,1:0,0:1,0:0,1:0
27,28,2012-09-10,Металлург Нк,Локомотив,2:1,1:2,1:1,0:0,0:1
28,29,2012-09-10,Сибирь,Атлант,0:0,2:1,0:1,0:0,0:1
29,30,2012-09-10,Авангард,Барыс,2:0,0:1,1:2,1:0,:
30,31,2012-09-10,Автомобилист,Трактор,0:0,0:0,0:3,:,:
31,32,2012-09-10,Салават Юлаев,Динамо Мн,1:1,5:2,0:0,:,:
32,33,2012-09-10,Нефтехимик,Северсталь,0:0,0:0,1:1,1:0,:
33,34,2012-09-10,Ак Барс,Витязь,1:0,1:1,0:0,:,:
34,35,2012-09-10,СКА,Югра,3:3,1:1,3:1,:,:
35,36,2012-09-10,ЦСКА,Динамо Р,0:1,1:0,1:0,:,:
36,37,2012-09-10,Слован,Спартак,0:0,0:1,1:0,0:0,1:0
