,Номер,Дата,Команда_1,Команда_2,Период_1,Период_2,Период_3,Овертайм,Буллиты
91,92,2011-10-04,Трактор,Барыс,1:1,2:1,1:1,:,:
92,93,2011-10-04,Ак Барс,Металлург Мг,2:0,1:1,1:0,:,:
93,94,2011-10-04,Нефтехимик,Югра,2:1,0:3,0:1,:,:
94,95,2011-10-04,Северсталь,Торпедо НН,0:1,0:2,0:0,:,:
95,96,2011-10-04,Атлант,Витязь,0:0,0:0,1:1,1:0,:
96,97,2011-10-04,ЦСКА,Металлург Нк,0:0,2:1,1:0,:,:
97,98,2011-10-04,Динамо Мн,Амур,0:1,2:1,3:1,:,:
98,99,2011-10-04,Лев Пп,Сибирь,0:1,0:1,2:0,0:0,1:0
99,100,2011-10-05,Спартак,Динамо Р,1:0,2:0,0:0,:,:
100,101,2011-10-05,Динамо М,СКА,1:0,1:1,0:0,:,:
101,102,2011-10-06,Авангард,Салават Юлаев,2:1,2:0,0:1,:,:
102,103,2011-10-06,Автомобилист,Югра,1:0,2:1,1:0,:,:
103,104,2011-10-06,Трактор,Металлург Мг,4:0,0:1,1:0,:,:
104,105,2011-10-06,ЦСКА,Амур,0:0,1:2,1:0,0:0,0:1
105,106,2011-10-06,Динамо Мн,Сибирь,1:0,0:0,0:1,0:1,:
106,107,2011-10-06,Лев Пп,Металлург Нк,1:0,3:0,0:0,:,:
107,108,2011-10-07,Ак Барс,Нефтехимик,1:0,4:0,0:2,:,:
108,109,2011-10-07,Витязь,СКА,1:1,0:1,0:2,:,:
109,110,2011-10-07,Северсталь,Динамо Р,2:1,0:0,2:1,:,:
110,111,2011-10-07,Торпедо НН,Атлант,0:1,2:0,1:1,:,:
111,112,2011-10-08,Авангард,Динамо М,0:0,0:0,0:0,0:0,0:1
112,113,2011-10-08,Барыс,Салават Юлаев,0:0,1:1,0:1,:,:
113,114,2011-10-08,Динамо Мн,Металлург Нк,2:0,0:0,1:0,:,:
114,115,2011-10-09,Автомобилист,Ак Барс,0:2,1:3,1:2,:,:
115,116,2011-10-09,Трактор,Нефтехимик,1:1,3:0,0:0,:,:
116,117,2011-10-09,Витязь,Динамо Р,0:0,1:3,0:4,:,:
117,118,2011-10-09,Северсталь,Атлант,0:0,1:0,0:1,0:0,1:0
118,119,2011-10-09,ЦСКА,СКА,0:0,0:1,2:1,0:0,0:1
119,120,2011-10-10,Амур,Спартак,0:1,3:0,3:0,:,:
120,121,2011-10-10,Авангард,Торпедо НН,0:2,1:0,1:0,0:0,1:0
121,122,2011-10-10,Сибирь,Салават Юлаев,0:1,2:2,4:0,:,:
122,123,2011-10-10,Металлург Мг,Динамо М,1:1,4:3,0:2,:,:
123,124,2011-10-12,Металлург Нк,Салават Юлаев,0:0,0:0,1:0,:,:
124,125,2011-10-12,Сибирь,Спартак,1:1,1:2,1:1,:,:
125,126,2011-10-12,Металлург Мг,Торпедо НН,0:0,1:0,2:0,:,:
126,127,2011-10-12,Югра,Динамо М,0:1,0:3,0:0,:,:
127,128,2011-10-12,Ак Барс,Трактор,0:1,1:0,0:1,:,:
128,129,2011-10-12,Витязь,Северсталь,0:1,2:2,1:0,0:0,1:0
129,130,2011-10-12,Нефтехимик,Автомобилист,0:0,0:0,0:1,:,:
130,131,2011-10-12,СКА,ЦСКА,1:1,2:1,1:0,:,:
131,132,2011-10-12,Динамо Мн,Барыс,3:1,1:1,1:0,:,:
132,133,2011-10-12,Динамо Р,Лев Пп,2:1,2:0,0:1,:,:
133,134,2011-10-14,Амур,Витязь,1:0,3:1,1:1,:,:
134,135,2011-10-14,Металлург Нк,Спартак,1:0,1:0,0:2,0:0,0:1
135,136,2011-10-14,Сибирь,Северсталь,0:0,1:1,2:0,:,:
136,137,2011-10-14,Салават Юлаев,СКА,0:1,0:1,2:2,:,:
137,138,2011-10-14,Югра,Торпедо НН,1:1,1:0,1:0,:,:
138,139,2011-10-14,Ак Барс,Лев Пп,0:1,1:2,0:1,:,:
139,140,2011-10-14,Атлант,Барыс,0:0,1:0,1:0,:,:
140,141,2011-10-14,Нефтехимик,ЦСКА,1:1,1:1,1:0,:,:
141,142,2011-10-14,Динамо М,Трактор,0:1,0:0,0:1,:,:
142,143,2011-10-14,Динамо Р,Автомобилист,0:0,1:0,1:0,:,:
143,144,2011-10-16,Амур,Северсталь,3:1,1:0,0:2,:,:
144,145,2011-10-16,Металлург Нк,Витязь,1:1,2:0,3:2,:,:
145,146,2011-10-16,Сибирь,Авангард,1:1,2:2,0:0,0:0,0:1
146,147,2011-10-16,Салават Юлаев,ЦСКА,2:1,0:1,0:0,0:1,:
147,148,2011-10-16,Ак Барс,Динамо Мн,2:1,1:1,2:0,:,:
148,149,2011-10-16,Атлант,Трактор,0:1,1:0,1:0,:,:
149,150,2011-10-16,Нефтехимик,Лев Пп,3:2,0:1,0:2,:,:
150,151,2011-10-16,СКА,Автомобилист,2:0,2:1,1:0,:,:
151,152,2011-10-16,Динамо Р,Барыс,0:1,0:3,0:1,:,:
152,153,2011-10-17,Спартак,Динамо М,1:1,0:5,0:1,:,:
153,154,2011-10-18,Амур,Авангард,0:0,1:0,2:1,:,:
154,155,2011-10-18,Металлург Нк,Северсталь,0:1,1:2,1:0,:,:
155,156,2011-10-18,Сибирь,Витязь,2:0,2:0,0:0,:,:
156,157,2011-10-18,Салават Юлаев,Лев Пп,0:1,2:2,4:2,:,:
157,158,2011-10-18,Ак Барс,ЦСКА,1:0,1:2,0:0,0:0,1:0
158,159,2011-10-18,Нефтехимик,Динамо Мн,2:0,0:2,0:0,0:0,0:1
159,160,2011-10-18,СКА,Барыс,1:2,2:1,0:0,0:0,1:0
160,161,2011-10-18,Динамо Р,Трактор,0:2,1:0,0:1,:,:
161,162,2011-10-19,Амур,Авангард,1:0,1:0,0:0,:,:
162,163,2011-10-19,Югра,Металлург Мг,0:2,1:2,2:1,:,:
163,164,2011-10-19,Спартак,Атлант,0:1,2:1,3:1,:,:
164,165,2011-10-20,Салават Юлаев,Динамо Мн,0:1,3:2,0:2,:,:
165,166,2011-10-21,Металлург Нк,Авангард,0:0,0:0,1:0,:,:
166,167,2011-10-21,Барыс,Югра,0:3,0:1,0:3,:,:
167,168,2011-10-21,Автомобилист,Металлург Мг,1:2,0:1,1:3,:,:
168,169,2011-10-21,Ак Барс,Атлант,3:3,1:0,2:0,:,:
169,170,2011-10-21,Торпедо НН,СКА,3:1,2:1,0:1,:,:
170,171,2011-10-21,ЦСКА,Динамо М,1:2,0:0,1:1,:,:
171,172,2011-10-21,Лев Пп,Динамо Р,1:1,1:2,1:2,:,:
172,173,2011-10-22,Витязь,Динамо Мн,0:1,1:2,1:1,:,:
173,174,2011-10-22,Северсталь,Нефтехимик,0:1,0:1,1:1,:,:
174,175,2011-10-23,Барыс,Амур,0:0,0:2,0:2,:,:
175,176,2011-10-23,Автомобилист,Югра,0:1,1:1,1:0,0:0,0:1
176,177,2011-10-23,Трактор,Металлург Мг,1:1,0:1,0:1,:,:
177,178,2011-10-23,Торпедо НН,Атлант,0:2,3:0,2:1,:,:
178,179,2011-10-23,Динамо М,Динамо Р,0:0,0:0,2:5,:,:
179,180,2011-10-23,ЦСКА,Лев Пп,1:0,3:1,2:0,:,:
180,181,2011-10-24,Витязь,Нефтехимик,1:2,3:0,0:1,:,:
181,182,2011-10-24,Северсталь,Салават Юлаев,1:1,3:0,0:1,:,:
182,183,2011-10-24,Спартак,Ак Барс,0:2,2:0,0:1,:,:
183,184,2011-10-25,Авангард,Металлург Мг,0:0,3:0,1:0,:,:
184,185,2011-10-25,Барыс,Амур,0:0,1:3,1:3,:,:
185,186,2011-10-25,Трактор,Сибирь,0:1,0:0,3:1,:,:
186,187,2011-10-25,Югра,Металлург Нк,0:0,0:0,0:0,0:0,1:0
187,188,2011-10-25,Динамо М,СКА,0:2,1:0,0:2,:,:
188,189,2011-10-25,Динамо Мн,Лев Пп,1:0,1:0,0:2,0:0,1:0
189,190,2011-10-26,Витязь,Салават Юлаев,1:1,0:0,0:0,0:0,1:0
190,191,2011-10-26,Северсталь,Ак Барс,2:0,1:0,1:0,:,:
191,192,2011-10-26,Спартак,Нефтехимик,0:2,2:3,0:2,:,:
192,193,2011-10-27,Барыс,Металлург Нк,1:1,0:0,2:0,:,:
193,194,2011-10-27,Автомобилист,Сибирь,0:1,0:0,0:1,:,:
194,195,2011-10-27,Трактор,Амур,0:0,3:0,0:1,:,:
195,196,2011-10-27,Торпедо НН,Динамо Р,1:1,0:1,1:0,0:0,1:0
196,197,2011-10-27,Динамо М,ЦСКА,1:0,0:0,1:0,:,:
197,198,2011-10-27,Лев Пп,СКА,0:0,0:2,0:2,:,:
198,199,2011-10-28,Атлант,Динамо Мн,0:0,2:1,0:1,0:0,1:0
199,200,2011-10-28,Витязь,Ак Барс,1:0,2:0,0:2,:,:
200,201,2011-10-28,Спартак,Салават Юлаев,1:0,1:1,0:1,0:1,:
201,202,2011-10-29,Авангард,Металлург Нк,0:0,3:0,1:2,:,:
202,203,2011-10-29,Барыс,Сибирь,0:1,1:0,2:1,:,:
203,204,2011-10-29,Автомобилист,Амур,2:0,0:2,2:2,0:0,0:1
204,205,2011-10-29,Металлург Мг,Югра,3:3,0:0,0:0,1:0,:
205,206,2011-10-29,Нефтехимик,Динамо Р,1:2,1:1,2:1,0:0,1:0
206,207,2011-10-29,ЦСКА,Северсталь,2:0,0:1,0:1,1:0,:
207,208,2011-10-30,Торпедо НН,Динамо Мн,1:0,1:0,1:1,:,:
208,209,2011-10-31,Нефтехимик,Трактор,1:4,1:2,0:2,:,:
209,210,2011-10-31,СКА,Спартак,2:0,1:1,0:0,:,:
210,211,2011-10-31,Витязь,Северсталь,3:0,1:4,2:0,:,:
211,212,2011-10-31,ЦСКА,Металлург Мг,2:0,1:0,1:2,:,:
212,213,2011-10-31,Динамо Р,Югра,0:0,0:0,1:0,:,:
213,214,2011-10-31,Лев Пп,Авангард,0:2,0:0,1:1,:,:
214,215,2011-11-01,Амур,Динамо М,0:1,2:4,0:1,:,:
215,216,2011-11-01,Сибирь,Торпедо НН,2:0,0:1,1:2,0:0,0:1
216,217,2011-11-02,Салават Юлаев,Автомобилист,1:0,2:1,0:2,0:0,1:0
217,218,2011-11-02,Ак Барс,Трактор,0:1,0:1,2:1,:,:
218,219,2011-11-02,Атлант,Югра,0:0,0:1,0:0,:,:
219,220,2011-11-02,Нефтехимик,Барыс,1:3,2:1,0:1,:,:
220,221,2011-11-02,СКА,Авангард,1:0,0:1,2:0,:,:
221,222,2011-11-02,ЦСКА,Витязь,0:0,1:0,0:1,0:0,0:1
222,223,2011-11-02,Динамо Мн,Спартак,1:1,2:2,0:0,0:1,:
223,224,2011-11-02,Динамо Р,Металлург Мг,0:1,1:0,0:0,0:0,1:0
224,225,2011-11-02,Лев Пп,Северсталь,2:0,3:0,0:0,:,:
225,226,2011-11-03,Амур,Торпедо НН,0:1,3:2,1:1,0:0,0:1
226,227,2011-11-03,Металлург Нк,Динамо М,0:1,1:0,1:1,0:0,0:1
227,228,2011-11-04,Салават Юлаев,Трактор,0:0,1:0,3:0,:,:
228,229,2011-11-04,Ак Барс,Барыс,1:0,0:2,1:1,:,:
229,230,2011-11-04,Атлант,Металлург Мг,3:0,0:1,0:1,:,:
230,231,2011-11-04,Нефтехимик,Автомобилист,2:0,0:1,1:1,:,:
231,232,2011-11-04,СКА,Югра,2:2,1:0,1:2,1:0,:
232,233,2011-11-04,ЦСКА,Спартак,0:1,1:0,1:0,:,:
233,234,2011-11-04,Динамо Мн,Северсталь,0:0,2:0,1:0,:,:
234,235,2011-11-04,Динамо Р,Авангард,0:1,0:1,1:2,:,:
235,236,2011-11-04,Лев Пп,Витязь,1:2,4:1,1:0,:,:
236,237,2011-11-05,Металлург Нк,Торпедо НН,1:0,1:0,2:1,:,:
237,238,2011-11-05,Сибирь,Динамо М,1:0,0:2,0:0,:,:
238,239,2011-11-06,Салават Юлаев,Барыс,1:0,0:2,1:2,:,:
239,240,2011-11-06,Югра,Трактор,0:1,3:2,1:1,0:0,1:0
240,241,2011-11-06,Ак Барс,Автомобилист,0:1,2:1,2:1,:,:
241,242,2011-11-06,Атлант,Авангард,1:0,1:1,1:1,:,:
242,243,2011-11-06,СКА,Металлург Мг,1:1,2:0,0:1,:,:
243,244,2011-11-06,Динамо Мн,Витязь,1:1,0:1,2:0,:,:
244,245,2011-11-06,Динамо Р,Северсталь,0:0,1:2,0:2,:,:
245,246,2011-11-06,Лев Пп,Спартак,1:1,1:2,0:0,:,:
246,249,2011-11-15,Нефтехимик,Салават Юлаев,2:0,1:1,0:2,0:0,0:1
247,250,2011-11-16,Авангард,Металлург Нк,1:0,0:0,0:1,0:1,:
248,251,2011-11-16,Барыс,ЦСКА,0:2,1:0,1:2,:,:
249,252,2011-11-16,Автомобилист,Лев Пп,1:2,2:0,1:2,1:0,:
250,253,2011-11-16,Металлург Мг,Сибирь,3:2,2:2,1:0,:,:
251,254,2011-11-16,Югра,Амур,0:1,3:1,1:2,0:0,0:1
252,255,2011-11-16,Северсталь,Атлант,2:1,1:2,0:2,:,:
253,256,2011-11-16,Спартак,Витязь,0:0,1:1,1:2,:,:
254,257,2011-11-16,Динамо Р,СКА,2:2,2:0,0:2,1:0,:
255,258,2011-11-17,Торпедо НН,Ак Барс,1:1,3:2,1:0,:,:
256,259,2011-11-17,Динамо М,Салават Юлаев,1:2,2:0,4:1,:,:
257,260,2011-11-18,Авангард,Сибирь,0:0,1:0,1:1,:,:
258,261,2011-11-18,Барыс,Металлург Нк,2:0,1:1,0:0,:,:
259,262,2011-11-18,Автомобилист,ЦСКА,0:0,2:3,0:0,:,:
260,263,2011-11-18,Металлург Мг,Амур,1:0,1:0,1:1,:,:
261,264,2011-11-18,Трактор,Лев Пп,1:1,0:0,2:0,:,:
262,265,2011-11-18,Витязь,Атлант,0:1,2:0,0:2,:,:
263,266,2011-11-18,Северсталь,Динамо Мн,1:0,0:0,3:2,:,:
264,267,2011-11-18,Спартак,СКА,1:1,0:3,0:4,:,:
265,268,2011-11-19,Торпедо НН,Салават Юлаев,0:0,0:0,1:0,:,:
266,269,2011-11-19,Динамо М,Нефтехимик,1:1,0:1,0:0,:,:
267,270,2011-11-20,Авангард,Амур,2:1,1:0,0:1,:,:
268,271,2011-11-20,Барыс,Лев Пп,0:0,0:1,1:0,1:0,:
269,272,2011-11-20,Автомобилист,Динамо Мн,0:0,0:1,4:1,:,:
270,273,2011-11-20,Металлург Мг,Металлург Нк,1:0,0:0,1:1,:,:
271,274,2011-11-20,Трактор,ЦСКА,1:0,1:0,0:1,:,:
272,275,2011-11-20,Югра,Сибирь,1:0,2:0,1:1,:,:
273,276,2011-11-20,Витязь,Северсталь,1:1,0:1,0:1,:,:
274,277,2011-11-20,Динамо Р,Спартак,0:0,3:0,1:1,:,:
275,278,2011-11-21,Торпедо НН,Нефтехимик,2:0,2:0,1:0,:,:
276,279,2011-11-21,Динамо М,Ак Барс,0:0,2:0,1:0,:,:
277,280,2011-11-22,Авангард,Амур,0:0,1:1,0:1,:,:
278,281,2011-11-22,Барыс,Динамо Мн,1:3,0:1,1:2,:,:
279,282,2011-11-22,Атлант,Витязь,2:1,1:1,0:0,:,:
280,283,2011-11-22,СКА,Лев Пп,2:0,1:1,2:1,:,:
281,284,2011-11-22,Спартак,Северсталь,1:0,2:2,0:3,:,:
282,285,2011-11-23,Югра,Металлург Мг,1:2,2:2,0:1,:,:
283,286,2011-11-23,ЦСКА,Динамо Р,0:1,0:0,1:1,:,:
284,287,2011-11-24,Трактор,Динамо Мн,1:1,1:1,2:0,:,:
285,288,2011-11-24,СКА,Динамо М,0:2,2:1,1:1,:,:
286,289,2011-11-25,Металлург Нк,Динамо Р,0:1,0:0,1:0,0:0,0:1
287,290,2011-11-25,Сибирь,Атлант,1:1,1:1,0:1,:,:
288,291,2011-11-25,Салават Юлаев,Авангард,0:0,2:2,2:0,:,:
289,292,2011-11-25,Ак Барс,Металлург Мг,1:0,0:0,1:0,:,:
290,293,2011-11-26,Витязь,Трактор,0:1,1:0,0:4,:,:
291,294,2011-11-26,Северсталь,Автомобилист,0:0,0:2,2:0,0:0,0:1
292,295,2011-11-26,Спартак,Барыс,0:2,0:1,2:1,:,:
293,296,2011-11-26,Лев Пп,Торпедо НН,1:0,0:0,1:0,:,:
294,297,2011-11-27,Амур,Динамо Р,0:0,0:1,1:1,:,:
295,298,2011-11-27,Металлург Нк,Атлант,0:1,0:1,0:1,:,:
296,299,2011-11-27,Сибирь,СКА,1:1,0:1,2:1,0:0,1:0
297,300,2011-11-27,Салават Юлаев,Югра,1:0,1:0,1:1,:,:
298,301,2011-11-27,Ак Барс,Авангард,0:0,0:0,0:1,:,:
299,302,2011-11-27,Нефтехимик,Металлург Мг,1:0,0:0,2:1,:,:
300,303,2011-11-28,Витязь,Автомобилист,3:1,2:0,1:0,:,:
301,304,2011-11-28,Северсталь,Барыс,3:1,1:0,3:0,:,:
302,305,2011-11-28,Спартак,Трактор,0:2,1:2,0:3,:,:
303,306,2011-11-28,ЦСКА,Динамо М,0:0,1:0,1:0,:,:
304,307,2011-11-28,Динамо Мн,Торпедо НН,1:1,2:0,1:1,:,:
305,308,2011-11-29,Амур,Атлант,1:1,0:0,0:1,:,:
306,309,2011-11-29,Металлург Нк,СКА,1:1,0:1,2:1,0:0,1:0
307,310,2011-11-29,Сибирь,Динамо Р,1:2,3:0,1:1,:,:
308,311,2011-11-29,Салават Юлаев,Металлург Мг,0:0,2:0,1:1,:,:
309,312,2011-11-29,Ак Барс,Югра,2:1,1:1,1:0,:,:
310,313,2011-11-29,Нефтехимик,Авангард,1:0,0:2,0:1,:,:
311,314,2011-11-30,Витязь,Барыс,0:2,1:1,1:3,:,:
312,315,2011-11-30,Северсталь,Трактор,1:0,0:3,0:1,:,:
313,316,2011-11-30,Спартак,Автомобилист,2:0,2:1,1:1,:,:
314,317,2011-11-30,ЦСКА,Торпедо НН,2:0,0:0,0:2,0:0,0:1
315,318,2011-11-30,Лев Пп,Динамо М,0:0,1:3,2:0,0:0,1:0
316,319,2011-12-01,Амур,СКА,0:4,1:1,2:2,:,:
317,320,2011-12-01,Салават Юлаев,Динамо Р,0:1,0:0,1:1,:,:
318,321,2011-12-01,Нефтехимик,Югра,1:1,0:1,0:1,:,:
319,322,2011-12-02,Металлург Нк,Сибирь,1:0,1:1,0:0,:,:
320,323,2011-12-02,Барыс,Автомобилист,3:0,1:0,4:1,:,:
321,324,2011-12-02,Динамо Мн,Динамо М,1:1,0:0,1:0,:,:
322,325,2011-12-03,Трактор,Югра,1:2,0:1,1:3,:,:
323,326,2011-12-03,Атлант,Витязь,0:1,1:0,1:0,:,:
324,327,2011-12-04,Амур,Сибирь,1:0,0:0,0:1,1:0,:
325,328,2011-12-04,СКА,Спартак,1:1,2:0,7:1,:,:
326,329,2011-12-04,Динамо Мн,Северсталь,1:1,2:0,0:0,:,:
327,330,2011-12-05,Амур,Сибирь,1:0,0:2,2:0,:,:
328,331,2011-12-05,Авангард,Лев Пп,0:0,0:0,0:0,0:0,1:0
329,332,2011-12-05,Металлург Мг,ЦСКА,0:0,1:0,2:2,:,:
330,333,2011-12-05,Атлант,Ак Барс,0:0,0:0,0:0,0:0,1:0
331,334,2011-12-05,Динамо Р,Салават Юлаев,2:0,0:1,0:3,:,:
332,335,2011-12-06,Металлург Нк,Барыс,1:0,0:2,1:1,:,:
333,336,2011-12-06,Трактор,Автомобилист,0:0,0:1,1:0,1:0,:
334,337,2011-12-06,Торпедо НН,Спартак,1:0,2:1,2:0,:,:
335,338,2011-12-06,Динамо М,Северсталь,1:0,1:1,0:0,:,:
336,339,2011-12-07,Авангард,Динамо Мн,0:1,1:2,0:0,:,:
337,340,2011-12-07,Металлург Мг,Лев Пп,0:0,1:1,1:0,:,:
338,341,2011-12-07,Югра,ЦСКА,1:1,1:0,1:1,:,:
339,342,2011-12-07,Атлант,Нефтехимик,2:2,0:1,0:1,:,:
340,343,2011-12-07,СКА,Салават Юлаев,2:0,0:4,2:0,0:1,:
341,344,2011-12-07,Динамо Р,Ак Барс,1:0,0:2,0:1,:,:
342,345,2011-12-08,Сибирь,Барыс,1:0,1:2,1:1,1:0,:
343,346,2011-12-08,Торпедо НН,Северсталь,0:0,1:2,2:0,:,:
344,347,2011-12-08,Динамо М,Витязь,1:0,0:1,1:1,0:0,1:0
