,Номер,Дата,Команда_1,Команда_2,Период_1,Период_2,Период_3,Овертайм,Буллиты
0,1,2011-09-12,Салават Юлаев,Атлант,0:3,2:0,3:0,:,:
1,2,2011-09-12,Трактор,Металлург Нк,1:0,1:2,0:0,0:0,1:0
2,3,2011-09-12,Витязь,Торпедо НН,0:1,0:1,0:1,:,:
3,4,2011-09-12,Северсталь,Динамо М,0:1,1:0,2:0,:,:
4,5,2011-09-12,ЦСКА,Югра,2:0,1:2,0:0,:,:
5,6,2011-09-12,Динамо Мн,Авангард,0:1,0:0,4:0,:,:
6,7,2011-09-12,Лев Пп,Металлург Мг,0:0,1:3,1:1,:,:
7,8,2011-09-13,Сибирь,Амур,2:1,2:0,1:1,:,:
8,9,2011-09-13,Ак Барс,Динамо Р,2:0,2:1,1:1,:,:
9,10,2011-09-13,Нефтехимик,СКА,0:1,0:0,1:2,:,:
10,11,2011-09-14,Барыс,Трактор,0:1,2:1,2:1,:,:
11,12,2011-09-14,Автомобилист,Металлург Нк,1:1,0:1,1:1,:,:
12,13,2011-09-14,Спартак,Торпедо НН,0:1,0:2,1:1,:,:
13,14,2011-09-14,ЦСКА,Авангард,0:0,1:0,0:2,:,:
14,15,2011-09-14,Динамо Мн,Югра,1:0,1:1,1:0,:,:
15,16,2011-09-15,Сибирь,Амур,2:2,0:1,1:2,:,:
16,17,2011-09-15,Атлант,Динамо Р,1:1,1:2,2:0,:,:
17,18,2011-09-15,Витязь,Динамо М,0:0,2:0,0:3,:,:
18,19,2011-09-16,Барыс,Авангард,1:1,1:0,2:3,0:0,0:1
19,20,2011-09-16,Автомобилист,Нефтехимик,0:0,1:0,2:1,:,:
20,21,2011-09-16,Металлург Мг,Трактор,2:0,0:0,3:1,:,:
21,22,2011-09-16,Салават Юлаев,Ак Барс,2:2,1:1,2:1,:,:
22,23,2011-09-16,Лев Пп,Югра,0:0,0:1,1:2,:,:
23,24,2011-09-16,Динамо Мн,Торпедо НН,0:3,0:0,0:0,:,:
24,25,2011-09-17,Металлург Нк,Амур,0:1,1:1,0:1,:,:
25,26,2011-09-17,СКА,ЦСКА,3:1,1:0,0:0,:,:
26,27,2011-09-17,Спартак,Динамо М,2:1,1:0,2:1,:,:
27,28,2011-09-18,Металлург Мг,Ак Барс,1:2,0:1,1:1,:,:
28,29,2011-09-18,Салават Юлаев,Нефтехимик,1:1,0:1,2:1,0:0,0:1
29,30,2011-09-18,Трактор,Югра,1:1,1:0,2:0,:,:
30,31,2011-09-18,Северсталь,Торпедо НН,1:0,1:1,4:1,:,:
31,32,2011-09-18,Динамо Мн,Атлант,1:1,0:1,1:1,:,:
32,33,2011-09-19,Металлург Нк,Амур,0:0,1:0,1:1,:,:
33,34,2011-09-19,Авангард,Сибирь,0:1,0:1,0:0,:,:
34,35,2011-09-19,СКА,Лев Пп,1:1,2:0,1:0,:,:
35,36,2011-09-19,Динамо М,Спартак,0:1,1:0,1:0,:,:
36,37,2011-09-19,Динамо Р,ЦСКА,3:1,1:1,1:1,:,:
37,38,2011-09-20,Торпедо НН,Витязь,0:1,2:2,0:0,:,:
38,39,2011-09-21,Сибирь,Салават Юлаев,1:1,1:2,2:1,0:0,1:0
39,40,2011-09-21,Ак Барс,Автомобилист,0:1,1:0,1:0,:,:
40,41,2011-09-21,Атлант,Лев Пп,1:1,2:1,0:1,0:0,1:0
41,42,2011-09-21,Нефтехимик,Трактор,0:1,2:1,1:1,0:0,0:1
42,43,2011-09-21,Динамо М,Барыс,1:2,3:0,2:1,:,:
43,44,2011-09-21,Динамо Р,Динамо Мн,0:1,1:1,1:0,0:0,0:1
44,45,2011-09-22,Авангард,Северсталь,1:0,1:2,3:0,:,:
45,46,2011-09-22,Металлург Мг,Витязь,1:0,2:0,1:0,:,:
46,47,2011-09-22,Югра,Спартак,1:1,0:1,0:0,:,:
47,48,2011-09-23,Амур,Салават Юлаев,1:3,1:0,0:2,:,:
48,49,2011-09-23,Атлант,Динамо Мн,0:1,1:2,0:0,:,:
49,50,2011-09-23,Торпедо НН,Барыс,0:0,0:0,0:1,:,:
50,51,2011-09-23,Динамо М,Автомобилист,1:0,0:0,1:0,:,:
51,52,2011-09-23,ЦСКА,Лев Пп,1:0,1:1,1:1,:,:
52,53,2011-09-24,Амур,Салават Юлаев,1:0,1:1,1:0,:,:
53,54,2011-09-24,Металлург Нк,Ак Барс,1:1,2:1,1:1,:,:
54,55,2011-09-24,Авангард,Спартак,1:1,2:2,1:0,:,:
55,56,2011-09-24,Сибирь,Нефтехимик,0:3,0:0,1:1,:,:
56,57,2011-09-24,Металлург Мг,Северсталь,1:2,1:2,0:1,:,:
57,58,2011-09-24,Югра,Витязь,1:0,0:0,0:0,:,:
58,59,2011-09-25,Торпедо НН,Автомобилист,0:0,0:1,5:0,:,:
59,60,2011-09-25,СКА,Трактор,2:0,0:0,1:1,:,:
60,61,2011-09-25,ЦСКА,Динамо Мн,1:0,1:0,0:0,:,:
61,62,2011-09-26,Амур,Нефтехимик,0:0,1:1,2:0,:,:
62,63,2011-09-26,Металлург Нк,Салават Юлаев,1:3,0:1,1:2,:,:
63,64,2011-09-26,Авангард,Витязь,1:0,2:0,1:0,:,:
64,65,2011-09-26,Сибирь,Ак Барс,2:1,1:1,0:2,:,:
65,66,2011-09-26,Металлург Мг,Спартак,1:1,3:0,0:1,:,:
66,67,2011-09-26,Югра,Северсталь,0:0,1:0,1:4,:,:
67,68,2011-09-26,Динамо Р,Лев Пп,0:0,0:1,0:1,:,:
68,69,2011-09-27,Атлант,Автомобилист,2:0,0:0,0:0,:,:
69,70,2011-09-27,Торпедо НН,Трактор,0:0,2:2,0:3,:,:
70,71,2011-09-27,СКА,Динамо Мн,1:0,2:1,0:2,0:0,0:1
71,72,2011-09-28,Амур,Ак Барс,0:0,3:0,1:0,:,:
72,73,2011-09-28,Металлург Нк,Нефтехимик,0:1,0:1,0:2,:,:
73,74,2011-09-28,Динамо Р,Динамо М,1:0,0:2,0:2,:,:
74,75,2011-09-30,Барыс,Металлург Мг,1:1,1:1,1:0,:,:
75,76,2011-09-30,Автомобилист,Авангард,1:1,1:2,1:2,:,:
76,77,2011-09-30,Салават Юлаев,Сибирь,0:1,1:1,1:0,0:0,1:0
77,78,2011-09-30,Торпедо НН,Югра,0:0,0:0,0:1,:,:
78,79,2011-09-30,Спартак,ЦСКА,1:0,0:0,0:1,0:0,1:0
79,80,2011-09-30,Лев Пп,Динамо М,0:0,2:1,2:0,:,:
80,81,2011-10-01,Динамо Мн,Атлант,0:0,0:2,2:0,0:1,:
81,82,2011-10-02,Автомобилист,Барыс,0:0,0:3,1:0,:,:
82,83,2011-10-02,Салават Юлаев,Металлург Нк,1:1,1:2,0:0,:,:
83,84,2011-10-02,Трактор,Авангард,0:0,1:0,1:0,:,:
84,85,2011-10-02,Ак Барс,Югра,0:0,0:1,1:0,0:1,:
85,86,2011-10-02,Витязь,Торпедо НН,0:2,2:1,1:0,0:0,1:0
86,87,2011-10-02,Нефтехимик,Металлург Мг,0:1,3:0,0:0,:,:
87,88,2011-10-02,ЦСКА,Сибирь,1:0,1:0,1:1,:,:
88,89,2011-10-02,Лев Пп,Амур,1:0,0:3,1:1,:,:
89,90,2011-10-03,СКА,Динамо Р,0:1,1:0,0:0,0:0,1:0
90,91,2011-10-03,Динамо М,Спартак,0:1,0:2,1:1,:,:
