,Номер,Дата,Команда_1,Команда_2,Период_1,Период_2,Период_3,Овертайм,Буллиты
0,1,2008-09-02,Салават Юлаев,Локомотив,0:1,2:0,2:0,:,:
1,2,2008-09-02,Амур,Динамо Р,0:1,1:1,1:2,:,:
2,3,2008-09-02,Металлург Нк,Динамо Мн,3:3,0:1,1:0,0:1,:
3,4,2008-09-02,Спартак,Атлант,1:1,3:3,1:1,1:0,:
4,5,2008-09-02,Витязь,ХК МВД,3:2,0:1,1:1,0:0,0:1
5,6,2008-09-03,Торпедо,ЦСКА,0:0,2:0,0:3,:,:
6,7,2008-09-03,Амур,Динамо Р,1:1,3:3,2:2,0:0,1:0
7,8,2008-09-03,Металлург Нк,Динамо Мн,1:0,3:1,1:1,:,:
8,9,2008-09-03,Сибирь,Динамо М,1:0,1:1,0:1,0:1,:
9,10,2008-09-03,Металлург Мг,СКА,1:1,0:0,1:0,:,:
10,11,2008-09-03,Трактор,Северсталь,2:2,1:0,0:0,:,:
11,12,2008-09-03,Ак Барс,Авангард,0:1,2:0,2:1,:,:
12,13,2008-09-03,Нефтехимик,Барыс,0:0,0:1,1:0,0:0,0:1
13,14,2008-09-03,Лада,Химик,2:1,1:1,2:2,:,:
14,15,2008-09-04,Атлант,Витязь,0:1,2:0,2:0,:,:
15,16,2008-09-04,Трактор,Локомотив,1:3,0:1,1:1,:,:
16,17,2008-09-05,Торпедо,Спартак,1:2,1:0,1:1,0:0,0:1
17,18,2008-09-05,ХК МВД,ЦСКА,1:0,0:2,0:1,:,:
18,19,2008-09-05,Амур,Динамо М,0:0,0:0,1:0,:,:
19,20,2008-09-05,Металлург Нк,Динамо Р,2:0,3:0,2:0,:,:
20,21,2008-09-05,Сибирь,Динамо Мн,0:0,1:1,0:1,:,:
21,22,2008-09-05,Металлург Мг,Северсталь,1:2,2:0,0:1,0:0,0:1
22,23,2008-09-05,Салават Юлаев,СКА,0:1,0:0,3:0,:,:
23,24,2008-09-05,Ак Барс,Химик,1:0,1:0,2:0,:,:
24,25,2008-09-05,Нефтехимик,Авангард,1:1,0:0,2:0,:,:
25,26,2008-09-05,Лада,Барыс,1:0,1:1,0:0,:,:
26,27,2008-09-06,Металлург Мг,Локомотив,2:1,0:1,0:2,:,:
27,28,2008-09-07,Торпедо,Витязь,1:1,1:2,3:0,:,:
28,29,2008-09-07,ХК МВД,Спартак,1:0,1:0,0:2,0:0,1:0
29,30,2008-09-07,Амур,Динамо Мн,1:0,0:0,0:0,:,:
30,31,2008-09-07,Металлург Нк,Динамо М,0:2,1:0,1:2,:,:
31,32,2008-09-07,Сибирь,Динамо Р,1:0,0:1,0:0,1:0,:
32,33,2008-09-07,Трактор,СКА,2:1,1:1,0:1,0:0,0:1
33,34,2008-09-07,Салават Юлаев,Северсталь,0:1,3:0,2:1,:,:
34,35,2008-09-07,Ак Барс,Барыс,1:0,1:2,1:0,:,:
35,36,2008-09-07,Нефтехимик,Химик,1:0,0:1,0:1,:,:
36,37,2008-09-07,Лада,Авангард,1:0,0:0,0:2,:,:
37,38,2008-09-07,ЦСКА,Атлант,0:0,0:2,0:0,:,:
38,39,2008-09-08,Сибирь,Динамо Р,3:0,0:1,3:0,:,:
39,40,2008-09-09,Атлант,Спартак,0:1,2:1,1:0,:,:
40,41,2008-09-10,Авангард,Металлург Мг,1:0,4:0,1:0,:,:
41,42,2008-09-11,Ак Барс,Динамо М,0:2,3:0,0:1,0:1,:
42,43,2008-09-11,Нефтехимик,Лада,0:0,2:0,0:1,:,:
43,44,2008-09-11,Барыс,Трактор,2:2,0:2,1:0,:,:
44,45,2008-09-11,СКА,Амур,1:0,1:0,2:0,:,:
45,46,2008-09-11,Северсталь,Металлург Нк,0:1,0:1,1:4,:,:
46,47,2008-09-11,Динамо Р,ХК МВД,2:0,0:1,0:0,:,:
47,48,2008-09-11,Витязь,Торпедо,1:2,3:2,1:1,0:0,1:0
48,49,2008-09-12,Авангард,Салават Юлаев,0:1,1:3,0:1,:,:
49,50,2008-09-12,Барыс,Металлург Мг,0:1,2:2,1:1,:,:
50,51,2008-09-12,Локомотив,Сибирь,1:0,1:1,1:0,:,:
51,52,2008-09-12,Динамо Мн,Атлант,0:2,1:0,0:2,:,:
52,53,2008-09-12,Спартак,ЦСКА,1:1,1:3,3:1,0:0,1:0
53,54,2008-09-13,Химик,Трактор,0:1,0:1,0:3,:,:
54,55,2008-09-13,СКА,ХК МВД,1:0,0:2,1:1,:,:
55,56,2008-09-13,Северсталь,Амур,1:0,0:1,1:1,0:0,1:0
56,57,2008-09-13,Локомотив,Металлург Нк,1:0,2:2,2:1,:,:
