,Номер,Дата,Команда_1,Команда_2,Период_1,Период_2,Период_3,Овертайм,Буллиты
57,58,2008-09-13,Динамо Мн,Торпедо,0:1,0:2,0:2,:,:
58,59,2008-09-13,Витязь,Динамо М,0:0,1:0,0:1,0:0,0:1
59,60,2008-09-14,Барыс,Салават Юлаев,0:0,0:2,2:0,0:0,1:0
60,61,2008-09-14,Химик,Металлург Мг,1:0,0:1,0:1,:,:
61,62,2008-09-14,Северсталь,Сибирь,3:0,2:0,1:1,:,:
62,63,2008-09-14,Динамо Р,Атлант,0:0,0:0,2:0,:,:
63,64,2008-09-14,Витязь,Нефтехимик,1:0,1:0,0:1,:,:
64,65,2008-09-15,Лада,Ак Барс,0:0,2:1,0:1,1:0,:
65,66,2008-09-15,Авангард,Трактор,1:1,0:2,2:3,:,:
66,67,2008-09-15,СКА,Металлург Нк,0:0,0:0,0:1,:,:
67,68,2008-09-15,Локомотив,Амур,0:0,2:0,1:0,:,:
68,69,2008-09-15,Динамо Р,Торпедо,0:0,2:0,2:1,:,:
69,70,2008-09-15,Динамо Мн,Спартак,0:0,0:1,0:1,:,:
70,71,2008-09-15,Динамо М,ХК МВД,0:0,3:1,0:1,:,:
71,72,2008-09-16,Барыс,Нефтехимик,0:2,2:0,0:0,1:0,:
72,73,2008-09-16,Химик,Салават Юлаев,0:0,0:1,1:1,:,:
73,74,2008-09-16,СКА,Сибирь,1:0,1:0,2:0,:,:
74,75,2008-09-16,Витязь,ЦСКА,1:1,0:2,0:1,:,:
75,76,2008-09-17,Барыс,Ак Барс,0:4,2:2,0:1,:,:
76,77,2008-09-17,Динамо Мн,ХК МВД,0:1,1:1,1:0,0:0,1:0
77,78,2008-09-17,Динамо М,Торпедо,1:0,1:1,2:0,:,:
78,79,2008-09-18,Металлург Нк,Салават Юлаев,0:0,2:1,0:0,:,:
79,80,2008-09-18,Металлург Мг,Нефтехимик,0:1,1:0,2:2,1:0,:
80,81,2008-09-18,Спартак,Витязь,0:1,3:0,2:1,:,:
81,82,2008-09-19,Атлант,Динамо М,1:1,3:2,2:0,:,:
82,83,2008-09-19,Металлург Мг,Ак Барс,1:1,1:2,1:2,:,:
83,84,2008-09-19,Авангард,Лада,3:0,1:0,1:1,:,:
84,85,2008-09-19,ЦСКА,СКА,1:0,0:0,0:0,:,:
85,86,2008-09-20,Трактор,Нефтехимик,2:2,0:0,1:1,0:0,1:0
86,87,2008-09-21,Торпедо,СКА,2:0,0:1,2:1,:,:
87,88,2008-09-21,ХК МВД,Северсталь,2:0,1:1,0:2,1:0,:
88,89,2008-09-21,Атлант,Локомотив,3:2,0:1,1:0,:,:
89,90,2008-09-21,Амур,Барыс,0:0,1:0,0:2,:,:
90,91,2008-09-21,Металлург Нк,Химик,0:0,0:2,2:0,0:0,1:0
91,92,2008-09-21,Сибирь,Авангард,0:0,2:2,0:0,0:1,:
92,93,2008-09-21,Металлург Мг,Лада,0:0,1:0,0:1,0:0,1:0
93,94,2008-09-21,Трактор,Ак Барс,1:0,3:0,0:1,:,:
94,95,2008-09-22,Салават Юлаев,Нефтехимик,1:0,1:5,1:0,:,:
95,96,2008-09-22,ЦСКА,Динамо Р,0:2,2:1,1:1,:,:
96,97,2008-09-22,Спартак,Динамо Мн,1:0,0:1,0:0,0:0,1:0
97,98,2008-09-23,Торпедо,Северсталь,0:0,0:1,0:0,:,:
98,99,2008-09-23,ХК МВД,Локомотив,0:3,1:0,1:2,:,:
99,100,2008-09-23,Атлант,СКА,0:1,2:0,2:0,:,:
100,101,2008-09-23,Амур,Химик,0:1,3:0,1:1,:,:
101,102,2008-09-23,Металлург Нк,Авангард,0:2,0:1,2:0,:,:
102,103,2008-09-23,Сибирь,Барыс,0:1,1:2,1:1,:,:
103,104,2008-09-23,Трактор,Лада,1:2,1:1,0:3,:,:
104,105,2008-09-23,Салават Юлаев,Ак Барс,3:0,1:0,0:2,:,:
105,106,2008-09-24,ЦСКА,Динамо М,1:1,1:1,1:0,:,:
106,107,2008-09-24,Спартак,Динамо Р,1:0,3:1,1:0,:,:
107,108,2008-09-24,Витязь,Динамо Мн,0:1,0:1,0:0,:,:
108,109,2008-09-25,Торпедо,Локомотив,1:1,1:0,0:0,:,:
109,110,2008-09-25,ХК МВД,СКА,0:2,0:0,0:1,:,:
110,111,2008-09-25,Атлант,Северсталь,0:0,5:1,1:0,:,:
111,112,2008-09-25,Амур,Авангард,0:1,0:1,0:2,:,:
112,113,2008-09-25,Металлург Нк,Барыс,1:1,1:1,1:2,:,:
113,114,2008-09-25,Сибирь,Химик,2:1,1:1,0:1,0:0,1:0
114,115,2008-09-25,Салават Юлаев,Лада,0:1,1:0,0:0,1:0,:
115,116,2008-09-26,Амур,Авангард,2:4,1:0,0:0,:,:
116,117,2008-09-26,Трактор,Металлург Мг,1:1,0:1,0:1,:,:
117,118,2008-09-26,ЦСКА,Динамо Мн,3:0,3:2,2:1,:,:
118,119,2008-09-26,Спартак,Динамо М,2:1,0:1,0:2,:,:
119,120,2008-09-26,Витязь,Динамо Р,1:0,0:1,1:1,0:0,0:1
120,121,2008-09-28,Металлург Мг,Салават Юлаев,0:3,0:1,1:1,:,:
121,122,2008-09-28,Химик,Торпедо,1:0,2:1,0:1,:,:
122,123,2008-09-28,Северсталь,Динамо Мн,2:0,2:1,1:0,:,:
123,124,2008-09-29,Ак Барс,Сибирь,2:1,4:2,2:1,:,:
124,125,2008-09-29,Нефтехимик,Амур,4:0,0:0,0:2,:,:
125,126,2008-09-29,Лада,Металлург Нк,0:2,0:1,1:0,:,:
126,127,2008-09-29,Авангард,ХК МВД,2:0,1:2,4:2,:,:
127,128,2008-09-29,Барыс,Атлант,1:0,1:2,1:2,:,:
128,131,2008-09-29,СКА,Спартак,0:0,2:1,2:0,:,:
129,129,2008-09-30,Трактор,Салават Юлаев,0:0,1:0,0:1,0:0,0:1
130,130,2008-09-30,Авангард,Торпедо,0:0,2:3,2:0,:,:
131,132,2008-09-30,Северсталь,ЦСКА,2:0,1:1,0:0,:,:
132,133,2008-09-30,Локомотив,Витязь,1:0,0:0,3:1,:,:
133,134,2008-10-01,Ак Барс,Металлург Нк,3:2,1:1,2:0,:,:
134,135,2008-10-01,Нефтехимик,Сибирь,0:0,0:0,0:0,0:0,0:1
135,136,2008-10-01,Лада,Амур,0:0,1:0,2:0,:,:
136,137,2008-10-01,Барыс,ХК МВД,2:0,1:0,1:2,:,:
137,138,2008-10-01,Химик,Атлант,0:2,1:1,0:1,:,:
138,139,2008-10-01,Динамо Р,Динамо М,0:0,2:1,2:2,:,:
139,140,2008-10-02,Барыс,Торпедо,1:0,0:0,2:0,:,:
140,141,2008-10-02,СКА,ЦСКА,1:1,1:1,3:1,:,:
141,142,2008-10-02,Северсталь,Витязь,1:2,1:0,2:1,:,:
142,143,2008-10-02,Локомотив,Спартак,3:0,1:1,1:1,:,:
143,145,2008-10-03,Ак Барс,Амур,2:0,1:2,1:0,:,:
144,146,2008-10-03,Нефтехимик,Металлург Нк,1:1,1:0,1:1,:,:
145,147,2008-10-03,Лада,Сибирь,1:0,0:1,1:1,1:0,:
146,148,2008-10-03,Авангард,Атлант,0:0,0:1,3:2,0:0,0:1
147,149,2008-10-03,Химик,ХК МВД,0:1,0:2,1:0,:,:
148,150,2008-10-03,Динамо Мн,Динамо М,0:1,0:1,0:0,:,:
149,144,2008-10-04,Металлург Мг,Трактор,2:1,0:0,3:0,:,:
150,151,2008-10-04,СКА,Витязь,0:0,0:0,0:0,0:0,1:0
151,152,2008-10-04,Северсталь,Спартак,1:1,2:1,2:2,:,:
152,153,2008-10-04,Локомотив,ЦСКА,0:1,1:0,0:0,0:1,:
153,154,2008-10-05,Торпедо,Динамо М,1:0,0:0,2:0,:,:
154,155,2008-10-05,Салават Юлаев,Металлург Нк,1:1,1:0,1:0,:,:
155,156,2008-10-05,Химик,Металлург Мг,1:0,1:0,2:0,:,:
156,157,2008-10-06,Динамо Р,Динамо Мн,4:1,3:2,1:2,:,:
157,158,2008-10-07,Торпедо,Нефтехимик,3:1,1:1,0:0,:,:
158,159,2008-10-07,ХК МВД,Лада,0:0,0:0,3:1,:,:
159,160,2008-10-07,Атлант,Ак Барс,0:0,4:1,2:0,:,:
160,161,2008-10-07,Амур,Трактор,0:3,1:2,2:0,:,:
161,162,2008-10-07,Сибирь,Металлург Мг,0:0,1:1,1:0,:,:
162,163,2008-10-07,Спартак,Северсталь,2:1,2:0,4:1,:,:
163,164,2008-10-08,ЦСКА,Барыс,0:2,3:0,0:1,1:0,:
164,165,2008-10-08,Витязь,Химик,0:1,0:0,1:0,1:0,:
165,166,2008-10-09,Торпедо,Лада,1:2,0:1,1:0,:,:
166,167,2008-10-09,ХК МВД,Ак Барс,0:0,2:0,0:3,:,:
167,168,2008-10-09,Атлант,Нефтехимик,0:0,3:0,2:0,:,:
168,169,2008-10-09,Металлург Нк,Металлург Мг,0:1,1:2,1:1,:,:
169,170,2008-10-09,Сибирь,Трактор,1:0,2:1,2:0,:,:
170,171,2008-10-09,Динамо Р,СКА,0:1,1:0,0:0,0:0,0:1
171,172,2008-10-09,Динамо Мн,Локомотив,0:0,0:1,0:1,:,:
172,173,2008-10-09,Динамо М,Северсталь,2:0,2:0,0:1,:,:
173,174,2008-10-09,Спартак,Авангард,1:3,1:1,0:1,:,:
174,175,2008-10-10,Амур,Салават Юлаев,0:0,0:2,0:1,:,:
175,176,2008-10-10,Спартак,Химик,2:0,3:2,0:1,:,:
176,177,2008-10-10,Витязь,Барыс,1:2,2:1,1:1,0:1,:
177,178,2008-10-11,Торпедо,Ак Барс,0:2,0:0,0:1,:,:
178,179,2008-10-11,ХК МВД,Нефтехимик,1:0,2:1,1:0,:,:
179,180,2008-10-11,Атлант,Лада,2:0,0:0,1:0,:,:
180,181,2008-10-11,Амур,Металлург Мг,0:0,0:2,0:1,:,:
181,182,2008-10-11,Металлург Нк,Трактор,0:0,1:0,1:2,1:0,:
182,183,2008-10-11,Динамо Р,Северсталь,0:1,1:0,0:1,:,:
183,184,2008-10-11,Динамо Мн,СКА,0:1,0:1,0:1,:,:
184,185,2008-10-11,Динамо М,Локомотив,1:0,0:0,1:0,:,:
185,186,2008-10-11,ЦСКА,Авангард,2:1,0:1,2:0,:,:
186,187,2008-10-12,Металлург Нк,Салават Юлаев,0:1,0:1,1:2,:,:
187,188,2008-10-12,Спартак,Барыс,0:2,1:0,3:1,:,:
188,189,2008-10-13,Динамо Р,Локомотив,0:3,1:0,1:0,:,:
189,190,2008-10-13,Динамо Мн,Северсталь,0:3,2:1,1:3,:,:
190,191,2008-10-13,Динамо М,СКА,0:1,1:0,3:0,:,:
191,192,2008-10-13,Витязь,Авангард,1:1,2:1,2:2,:,:
192,193,2008-10-14,Трактор,ХК МВД,1:0,1:0,1:1,:,:
193,194,2008-10-14,Нефтехимик,Барыс,1:1,2:0,1:1,:,:
194,195,2008-10-14,Сибирь,Салават Юлаев,2:2,0:5,0:2,:,:
195,196,2008-10-15,Химик,СКА,1:0,1:1,0:1,0:0,0:1
196,197,2008-10-16,Металлург Мг,ХК МВД,0:0,0:0,5:0,:,:
197,198,2008-10-16,Нефтехимик,Спартак,2:0,1:1,3:0,:,:
198,199,2008-10-17,Амур,Сибирь,0:1,3:1,1:1,:,:
199,200,2008-10-17,Металлург Нк,Атлант,1:0,0:0,0:1,0:0,0:1
200,201,2008-10-17,Металлург Мг,Торпедо,1:1,2:0,1:0,:,:
201,202,2008-10-17,Ак Барс,ЦСКА,0:0,1:1,0:0,0:0,1:0
202,203,2008-10-17,Лада,Витязь,2:0,4:3,1:1,:,:
203,204,2008-10-17,Локомотив,Северсталь,0:0,1:1,0:0,0:0,0:1
204,205,2008-10-18,Амур,Сибирь,0:2,0:0,1:0,:,:
205,206,2008-10-18,Салават Юлаев,ХК МВД,3:0,0:0,0:1,:,:
206,207,2008-10-18,Ак Барс,Спартак,1:1,2:0,0:1,:,:
207,209,2008-10-18,Барыс,Динамо Мн,2:0,1:2,2:0,:,:
208,210,2008-10-18,Химик,Динамо Р,0:0,0:1,1:1,:,:
209,211,2008-10-19,Металлург Мг,Атлант,0:1,1:3,4:1,0:0,1:0
210,212,2008-10-19,Салават Юлаев,Торпедо,3:0,1:1,3:0,:,:
211,213,2008-10-19,Нефтехимик,Витязь,1:1,1:0,1:1,:,:
212,214,2008-10-19,Лада,ЦСКА,0:1,1:1,0:1,:,:
213,215,2008-10-20,Амур,Металлург Нк,1:1,1:0,0:1,0:0,0:1
214,216,2008-10-20,Лада,Спартак,2:0,0:2,1:3,:,:
215,217,2008-10-20,Авангард,Динамо Мн,1:1,2:1,2:1,:,:
216,218,2008-10-20,Барыс,Динамо Р,0:0,2:0,1:0,:,:
217,219,2008-10-20,Химик,Динамо М,0:0,0:2,2:0,0:0,0:1
218,220,2008-10-20,СКА,Локомотив,1:1,1:0,1:1,:,:
219,221,2008-10-21,Трактор,Торпедо,1:1,0:1,2:0,:,:
220,222,2008-10-21,Салават Юлаев,Атлант,1:2,1:2,1:1,:,:
221,223,2008-10-21,Ак Барс,Витязь,0:1,1:0,1:1,1:0,:
222,224,2008-10-21,Нефтехимик,ЦСКА,1:1,0:1,1:2,:,:
223,225,2008-10-22,Сибирь,Металлург Нк,2:0,0:0,1:0,:,:
224,226,2008-10-22,Лада,Локомотив,0:1,1:1,1:1,:,:
225,227,2008-10-22,Авангард,Динамо Р,1:1,0:1,1:1,:,:
226,228,2008-10-22,Барыс,Динамо М,2:3,0:1,2:0,0:0,1:0
227,229,2008-10-22,Химик,Динамо Мн,0:1,1:1,0:1,:,:
228,230,2008-10-22,Северсталь,Спартак,1:1,0:1,1:3,:,:
229,231,2008-10-23,Трактор,Атлант,2:0,0:0,0:1,:,:
230,232,2008-10-23,Авангард,Динамо Р,1:0,1:0,1:0,:,:
231,233,2008-10-23,ЦСКА,Витязь,1:2,1:0,0:0,0:0,1:0
232,234,2008-10-24,ХК МВД,Металлург Мг,0:2,2:0,2:0,:,:
233,235,2008-10-24,Трактор,Амур,1:0,0:2,1:0,0:0,0:1
234,236,2008-10-24,Нефтехимик,Ак Барс,2:0,2:1,0:0,:,:
235,208,2008-10-25,Авангард,Динамо М,0:0,0:0,2:2,0:0,1:0
236,237,2008-10-25,СКА,ЦСКА,2:2,1:0,0:1,1:0,:
237,238,2008-10-25,Северсталь,Салават Юлаев,0:1,3:2,0:0,1:0,:
238,239,2008-10-26,Торпедо,Барыс,0:1,1:2,1:0,:,:
239,240,2008-10-26,Локомотив,Амур,2:0,3:0,2:1,:,:
240,241,2008-10-26,Динамо Р,Ак Барс,1:0,0:2,1:1,:,:
241,242,2008-10-27,Металлург Мг,ЦСКА,0:2,2:0,1:1,0:0,1:0
242,243,2008-10-27,Локомотив,Авангард,1:0,0:0,1:2,1:0,:
243,244,2008-10-27,Динамо Р,Лада,0:1,0:3,0:2,:,:
244,245,2008-10-27,Динамо М,Нефтехимик,0:1,0:0,0:1,:,:
245,246,2008-10-27,Спартак,Салават Юлаев,0:2,0:0,0:1,:,:
246,247,2008-10-27,Витязь,Трактор,1:0,0:0,2:1,:,:
247,248,2008-10-28,Торпедо,Металлург Нк,1:0,0:0,2:0,:,:
248,249,2008-10-28,ХК МВД,Амур,0:1,0:1,0:1,:,:
249,250,2008-10-28,Атлант,Сибирь,0:0,0:0,2:1,:,:
250,251,2008-10-28,СКА,Химик,1:0,0:2,2:3,:,:
251,252,2008-10-28,Северсталь,Барыс,0:1,0:2,2:3,:,:
252,253,2008-10-28,Динамо Мн,Ак Барс,1:3,1:1,1:4,:,:
253,254,2008-10-29,СКА,Авангард,2:0,1:0,2:0,:,:
254,255,2008-10-29,Динамо Р,Нефтехимик,0:1,1:1,0:3,:,:
255,256,2008-10-29,Динамо Мн,Лада,0:0,1:0,2:1,:,:
256,257,2008-10-29,ЦСКА,Трактор,0:0,0:1,0:0,:,:
257,258,2008-10-29,Витязь,Спартак,0:4,1:1,3:2,:,:
258,259,2008-10-30,Торпедо,Амур,1:0,3:3,0:1,0:0,1:0
259,260,2008-10-30,ХК МВД,Сибирь,1:0,1:0,1:0,:,:
260,261,2008-10-30,Атлант,Металлург Нк,0:1,2:0,1:2,0:0,1:0
261,262,2008-10-30,Северсталь,Химик,1:0,0:1,0:0,0:0,1:0
262,263,2008-10-30,Локомотив,Барыс,2:1,2:0,3:0,:,:
263,265,2008-10-31,Металлург Мг,Витязь,0:0,1:0,0:1,0:0,1:0
264,266,2008-10-31,Северсталь,Авангард,0:0,1:2,0:2,:,:
265,267,2008-10-31,Динамо Мн,Нефтехимик,2:0,2:1,0:0,:,:
266,268,2008-10-31,Динамо М,Лада,2:1,1:2,1:0,:,:
267,269,2008-10-31,ЦСКА,Салават Юлаев,4:0,1:2,0:2,:,:
268,270,2008-10-31,Спартак,Трактор,1:0,0:0,3:0,:,:
269,271,2008-11-01,Торпедо,Сибирь,1:0,2:1,1:0,:,:
270,272,2008-11-01,ХК МВД,Металлург Нк,2:0,1:1,2:0,:,:
271,273,2008-11-01,Атлант,Амур,0:0,1:0,2:0,:,:
272,274,2008-11-01,СКА,Барыс,2:0,0:1,2:1,:,:
273,275,2008-11-01,Локомотив,Химик,0:0,0:0,1:1,0:1,:
274,276,2008-11-02,Салават Юлаев,Витязь,1:1,2:2,2:0,:,:
275,277,2008-11-02,Ак Барс,Нефтехимик,0:1,2:1,4:0,:,:
276,278,2008-11-02,Динамо М,Авангард,1:1,3:0,1:0,:,:
277,279,2008-11-02,Спартак,Металлург Мг,0:2,1:1,0:1,:,:
278,280,2008-11-11,Металлург Мг,Химик,0:0,1:1,2:1,:,:
279,282,2008-11-12,Металлург Нк,ЦСКА,0:0,0:0,0:1,:,:
280,283,2008-11-12,Ак Барс,Торпедо,0:1,3:2,3:0,:,:
281,284,2008-11-12,Нефтехимик,Северсталь,0:0,2:1,0:1,1:0,:
282,285,2008-11-12,Динамо М,Витязь,1:1,2:1,1:0,:,:
283,286,2008-11-13,ХК МВД,СКА,0:2,0:1,0:1,:,:
284,287,2008-11-13,Атлант,Динамо Мн,0:0,1:0,0:1,1:0,:
285,288,2008-11-13,Сибирь,Авангард,1:0,1:0,2:1,:,:
286,289,2008-11-13,Металлург Мг,Динамо Р,0:2,3:0,2:1,:,:
287,290,2008-11-13,Трактор,Химик,1:1,0:0,2:0,:,:
288,291,2008-11-13,Лада,Локомотив,1:1,0:0,1:1,0:0,1:0
289,292,2008-11-14,Амур,Витязь,0:0,1:0,0:0,:,:
290,293,2008-11-14,Металлург Нк,Спартак,1:2,2:1,1:3,:,:
291,294,2008-11-14,Сибирь,ЦСКА,1:2,1:0,1:1,0:0,1:0
292,295,2008-11-14,Нефтехимик,Торпедо,1:1,0:0,0:2,:,:
293,296,2008-11-14,Лада,Северсталь,0:3,0:2,2:2,:,:
294,297,2008-11-14,Динамо М,Салават Юлаев,2:2,1:2,0:2,:,:
295,298,2008-11-15,Металлург Мг,Динамо Мн,3:1,0:0,0:2,0:0,1:0
296,299,2008-11-15,Трактор,Динамо Р,1:0,2:2,1:1,:,:
297,300,2008-11-15,Ак Барс,Локомотив,0:1,3:1,0:1,0:0,1:0
298,301,2008-11-15,Нефтехимик,СКА,0:0,0:1,0:0,:,:
299,302,2008-11-15,Барыс,Авангард,1:1,1:1,2:0,:,:
300,303,2008-11-16,Атлант,Торпедо,1:1,4:0,3:1,:,:
301,304,2008-11-16,Металлург Нк,Витязь,0:0,2:0,1:1,:,:
302,305,2008-11-16,Сибирь,Спартак,2:0,0:1,2:0,:,:
303,306,2008-11-16,Ак Барс,Северсталь,0:2,1:0,2:1,0:0,0:1
304,307,2008-11-16,Химик,ЦСКА,0:0,2:3,1:0,0:0,0:1
305,308,2008-11-17,Металлург Мг,Динамо М,2:2,1:0,0:1,1:0,:
306,309,2008-11-17,Трактор,Динамо Мн,1:1,2:1,2:0,:,:
307,310,2008-11-17,Салават Юлаев,Динамо Р,0:0,0:0,4:0,:,:
308,311,2008-11-17,Нефтехимик,Локомотив,0:0,0:0,1:1,0:0,0:1
309,312,2008-11-17,Лада,СКА,0:0,0:2,0:2,:,:
310,313,2008-11-17,Химик,Авангард,2:0,1:1,0:0,:,:
311,314,2008-11-18,Амур,Спартак,2:2,0:0,1:0,:,:
312,315,2008-11-18,Сибирь,Витязь,2:3,3:1,2:0,:,:
313,316,2008-11-18,ЦСКА,ХК МВД,2:1,1:0,1:0,:,:
314,317,2008-11-19,Трактор,Динамо М,1:1,0:0,2:0,:,:
315,318,2008-11-19,Салават Юлаев,Динамо Мн,0:0,1:0,2:1,:,:
316,319,2008-11-19,Ак Барс,СКА,0:3,0:0,1:0,:,:
317,320,2008-11-19,Химик,Барыс,2:3,0:2,1:1,:,:
318,281,2008-11-20,Авангард,Локомотив,0:2,1:1,0:2,:,:
319,321,2008-11-20,Амур,ЦСКА,0:1,2:2,1:3,:,:
320,322,2008-11-21,Торпедо,ХК МВД,0:0,0:1,3:0,:,:
321,323,2008-11-21,Атлант,Металлург Нк,2:0,0:1,0:0,:,:
322,324,2008-11-21,Металлург Мг,Сибирь,3:0,0:0,0:2,:,:
323,325,2008-11-21,Салават Юлаев,Динамо М,1:2,3:2,2:2,1:0,:
324,326,2008-11-21,Ак Барс,Барыс,2:0,2:0,3:0,:,:
325,327,2008-11-21,Лада,Нефтехимик,0:0,0:1,0:1,:,:
326,328,2008-11-23,Нефтехимик,Динамо М,0:1,2:0,0:2,:,:
327,329,2008-11-23,Авангард,Химик,2:1,0:0,0:1,0:0,1:0
328,330,2008-11-23,Северсталь,Атлант,0:0,2:1,0:1,0:0,0:1
329,331,2008-11-23,Локомотив,Сибирь,0:0,1:0,1:0,:,:
330,332,2008-11-23,Спартак,Металлург Нк,1:2,0:0,3:0,:,:
331,333,2008-11-23,Витязь,Амур,2:0,0:2,0:0,0:1,:
332,334,2008-11-24,Динамо Р,Лада,0:0,0:0,0:1,:,:
333,335,2008-11-24,Динамо Мн,Трактор,2:2,1:0,0:0,:,:
334,336,2008-11-25,Торпедо,Атлант,0:0,2:1,0:0,:,:
335,337,2008-11-25,Барыс,Химик,0:0,2:1,2:1,:,:
336,338,2008-11-25,СКА,Ак Барс,1:0,1:0,3:1,:,:
337,339,2008-11-25,Северсталь,Металлург Нк,2:0,0:1,0:1,0:0,1:0
338,340,2008-11-25,Локомотив,Нефтехимик,0:0,2:1,1:0,:,:
339,341,2008-11-25,ЦСКА,Сибирь,2:0,2:1,1:2,:,:
340,342,2008-11-25,Спартак,Амур,1:1,0:0,0:0,0:0,1:0
341,343,2008-11-26,Локомотив,Лада,1:0,1:0,2:2,:,:
342,344,2008-11-26,Динамо Р,Трактор,2:0,2:0,1:0,:,:
343,345,2008-11-27,ХК МВД,Атлант,0:0,1:0,1:3,:,:
344,346,2008-11-27,СКА,Нефтехимик,1:1,0:1,1:0,0:0,1:0
345,347,2008-11-27,Северсталь,Ак Барс,0:3,0:3,0:1,:,:
346,348,2008-11-27,Динамо Р,Металлург Мг,0:0,0:0,1:1,0:0,0:1
347,349,2008-11-27,Динамо Мн,Салават Юлаев,2:1,0:1,1:3,:,:
