,Номер,Дата,Команда_1,Команда_2,Период_1,Период_2,Период_3,Овертайм,Буллиты
67,68,2009-09-24,Барыс,Ак Барс,2:1,1:2,1:1,0:0,0:1
68,69,2009-09-24,Авангард,Нефтехимик,0:1,0:0,1:1,:,:
69,70,2009-09-24,Спартак,Локомотив,1:1,2:0,1:0,:,:
70,71,2009-09-25,СКА,Амур,0:0,4:0,1:1,:,:
71,72,2009-09-25,Северсталь,Сибирь,0:0,0:0,0:0,0:1,:
72,73,2009-09-25,Атлант,Металлург Нк,1:1,2:0,3:0,:,:
73,74,2009-09-26,Автомобилист,Трактор,2:0,0:1,0:2,:,:
74,75,2009-09-26,ЦСКА,Динамо Р,2:0,0:0,0:1,:,:
75,76,2009-09-26,Торпедо,Динамо М,0:0,2:1,0:0,:,:
76,77,2009-09-26,Витязь,Динамо Мн,1:0,1:0,3:3,:,:
77,78,2009-09-26,Салават Юлаев,Ак Барс,0:0,0:4,3:0,:,:
78,79,2009-09-26,Барыс,Нефтехимик,1:1,0:0,0:0,0:0,0:1
79,80,2009-09-26,Авангард,Лада,3:0,0:1,2:0,:,:
80,81,2009-09-26,ХК МВД,Спартак,2:0,1:2,2:1,:,:
81,82,2009-09-27,СКА,Сибирь,2:1,2:0,0:0,:,:
82,83,2009-09-28,Нефтехимик,Лада,2:1,0:1,2:0,:,:
83,84,2009-09-28,Динамо М,Спартак,1:0,2:0,2:1,:,:
84,85,2009-09-28,Торпедо,Северсталь,1:0,2:0,1:1,:,:
85,86,2009-09-28,Локомотив,Атлант,1:0,2:0,1:3,:,:
86,87,2009-09-29,Амур,Автомобилист,2:1,1:0,0:0,:,:
87,88,2009-09-29,Металлург Нк,Металлург Мг,0:2,0:1,0:3,:,:
88,89,2009-09-29,Барыс,Салават Юлаев,0:1,0:1,1:0,:,:
89,90,2009-09-30,Динамо Р,СКА,0:1,0:1,0:0,:,:
90,91,2009-09-30,Динамо Мн,Атлант,0:2,0:1,1:1,:,:
91,92,2009-09-30,Динамо М,Северсталь,0:1,0:1,2:2,:,:
92,93,2009-10-01,Ак Барс,Торпедо,0:0,1:1,2:0,:,:
93,94,2009-10-01,Нефтехимик,Витязь,2:0,4:0,0:2,:,:
94,95,2009-10-01,Лада,ЦСКА,1:2,0:2,1:0,:,:
95,96,2009-10-01,Амур,Металлург Мг,1:1,0:2,1:2,:,:
96,97,2009-10-01,Сибирь,Автомобилист,1:0,0:1,0:2,:,:
97,98,2009-10-01,Металлург Нк,Трактор,0:0,0:1,0:2,:,:
98,99,2009-10-01,Локомотив,Барыс,1:1,3:2,1:0,:,:
99,100,2009-10-01,ХК МВД,Салават Юлаев,0:0,1:2,1:2,:,:
100,101,2009-10-01,Спартак,Авангард,0:1,0:0,1:1,:,:
101,102,2009-10-02,Динамо Р,Северсталь,1:0,1:1,1:1,:,:
102,103,2009-10-02,Динамо Мн,СКА,0:0,1:2,0:2,:,:
103,104,2009-10-02,Атлант,Динамо М,1:0,1:3,1:1,:,:
104,105,2009-10-03,Ак Барс,ЦСКА,0:0,0:1,0:2,:,:
105,106,2009-10-03,Нефтехимик,Торпедо,1:1,1:2,1:0,0:0,0:1
106,107,2009-10-03,Лада,Витязь,3:0,2:3,0:2,0:0,0:1
107,108,2009-10-03,Амур,Трактор,0:0,1:0,0:2,:,:
108,109,2009-10-03,Сибирь,Металлург Мг,1:1,1:0,1:2,0:0,0:1
109,110,2009-10-03,Металлург Нк,Автомобилист,0:0,0:1,1:0,0:0,0:1
110,111,2009-10-03,Локомотив,Салават Юлаев,4:1,0:1,0:3,:,:
111,112,2009-10-03,ХК МВД,Авангард,1:0,1:0,1:2,:,:
112,113,2009-10-03,Спартак,Барыс,2:1,0:0,0:1,0:0,1:0
113,114,2009-10-04,Динамо Р,Атлант,0:0,0:2,4:0,:,:
114,115,2009-10-04,Динамо Мн,Северсталь,1:0,1:1,0:0,:,:
115,116,2009-10-04,Динамо М,СКА,0:0,0:3,1:2,:,:
116,117,2009-10-05,Ак Барс,Витязь,1:0,1:0,0:1,:,:
117,118,2009-10-05,Нефтехимик,ЦСКА,1:1,3:1,0:0,:,:
118,119,2009-10-05,Лада,Торпедо,2:0,1:0,1:0,:,:
119,120,2009-10-05,Сибирь,Трактор,0:1,3:1,3:0,:,:
120,121,2009-10-05,Автомобилист,Металлург Мг,0:1,0:2,2:1,:,:
121,122,2009-10-05,Локомотив,Авангард,1:1,0:2,1:0,:,:
122,123,2009-10-05,ХК МВД,Барыс,1:0,3:0,1:1,:,:
123,124,2009-10-05,Спартак,Салават Юлаев,1:0,1:0,2:2,:,:
124,125,2009-10-06,Динамо М,Динамо Р,4:0,0:1,0:1,:,:
125,126,2009-10-07,Авангард,Барыс,1:0,2:2,3:1,:,:
126,127,2009-10-08,Металлург Нк,Амур,1:0,2:0,2:2,:,:
127,128,2009-10-08,Автомобилист,Динамо Р,1:0,2:0,1:2,:,:
128,129,2009-10-08,Металлург Мг,Динамо Мн,1:1,0:0,2:0,:,:
129,130,2009-10-08,Трактор,Динамо М,0:1,2:1,0:2,:,:
130,131,2009-10-08,СКА,Нефтехимик,3:1,0:0,4:1,:,:
131,132,2009-10-08,Северсталь,Ак Барс,0:0,3:1,0:0,:,:
132,133,2009-10-08,Атлант,Лада,0:0,1:0,0:2,:,:
133,134,2009-10-08,Салават Юлаев,Сибирь,0:2,0:1,3:0,0:0,0:1
134,135,2009-10-09,ЦСКА,Локомотив,0:0,1:1,0:0,0:0,1:0
135,136,2009-10-09,Торпедо,ХК МВД,2:0,1:0,3:2,:,:
136,137,2009-10-09,Витязь,Спартак,1:2,1:2,2:1,:,:
137,138,2009-10-10,Автомобилист,Динамо М,0:0,0:1,3:0,:,:
138,139,2009-10-10,Металлург Мг,Динамо Р,0:1,3:1,1:0,:,:
139,140,2009-10-10,Трактор,Динамо Мн,1:2,1:2,2:2,:,:
140,141,2009-10-10,СКА,Лада,1:0,1:0,1:0,:,:
141,142,2009-10-10,Северсталь,Нефтехимик,0:0,0:0,1:1,0:0,1:0
142,143,2009-10-10,Атлант,Ак Барс,2:1,2:1,0:1,:,:
143,144,2009-10-10,Салават Юлаев,Металлург Нк,1:2,0:0,2:1,1:0,:
144,145,2009-10-10,Барыс,Амур,1:0,1:1,2:1,:,:
145,146,2009-10-10,Авангард,Сибирь,1:2,1:1,3:0,:,:
146,147,2009-10-11,ЦСКА,Спартак,2:0,2:2,0:0,:,:
147,148,2009-10-11,Торпедо,Локомотив,1:0,2:0,1:1,:,:
148,149,2009-10-11,Витязь,ХК МВД,2:0,1:2,0:3,:,:
149,150,2009-10-12,Автомобилист,Динамо Мн,0:2,1:0,0:1,:,:
150,151,2009-10-12,Металлург Мг,Динамо М,1:1,0:2,1:2,:,:
151,152,2009-10-12,Трактор,Динамо Р,3:1,1:3,0:0,0:0,1:0
152,153,2009-10-12,СКА,Ак Барс,0:1,1:1,2:1,0:0,1:0
153,154,2009-10-12,Северсталь,Лада,0:0,2:1,0:1,0:0,1:0
154,155,2009-10-12,Атлант,Нефтехимик,2:0,1:1,0:1,:,:
155,156,2009-10-12,Авангард,Металлург Нк,0:1,0:0,2:0,:,:
156,157,2009-10-13,Амур,Салават Юлаев,0:1,1:1,1:0,0:0,0:1
157,158,2009-10-13,Сибирь,Барыс,0:0,2:2,1:2,:,:
158,159,2009-10-13,ЦСКА,ХК МВД,1:1,1:1,1:1,0:0,1:0
159,160,2009-10-13,Торпедо,Спартак,0:1,3:0,1:1,:,:
160,161,2009-10-13,Витязь,Локомотив,0:3,1:1,0:4,:,:
161,162,2009-10-14,Амур,Салават Юлаев,1:0,0:0,0:1,0:0,1:0
162,163,2009-10-14,Автомобилист,Ак Барс,0:0,0:1,1:2,:,:
163,164,2009-10-14,Металлург Мг,Нефтехимик,0:0,3:1,1:1,:,:
164,165,2009-10-14,Трактор,Лада,0:0,3:1,0:0,:,:
165,166,2009-10-15,Динамо Мн,Спартак,1:1,0:0,2:1,:,:
166,167,2009-10-15,Динамо М,СКА,0:2,3:0,1:1,:,:
167,168,2009-10-15,Сибирь,Авангард,3:0,0:1,1:3,0:0,1:0
168,169,2009-10-15,Металлург Нк,Барыс,1:1,0:0,1:1,1:0,:
169,170,2009-10-15,Северсталь,ХК МВД,0:1,0:1,1:0,:,:
170,171,2009-10-17,Металлург Нк,Авангард,0:3,1:0,0:2,:,:
171,172,2009-10-17,Атлант,Витязь,1:0,1:0,1:0,:,:
172,173,2009-10-17,Салават Юлаев,ЦСКА,1:0,1:0,1:0,:,:
173,174,2009-10-17,Локомотив,СКА,2:1,0:0,2:0,:,:
174,175,2009-10-17,ХК МВД,Торпедо,0:0,0:1,3:0,:,:
175,176,2009-10-18,Ак Барс,Металлург Мг,0:1,0:1,1:1,:,:
176,177,2009-10-18,Нефтехимик,Трактор,2:1,2:1,1:0,:,:
177,178,2009-10-18,Лада,Автомобилист,1:0,0:0,1:0,:,:
178,179,2009-10-18,Динамо Р,Амур,1:1,2:1,0:1,0:0,0:1
179,180,2009-10-19,Салават Юлаев,Торпедо,1:0,3:0,0:1,:,:
180,181,2009-10-19,Барыс,ЦСКА,1:0,1:1,3:1,:,:
181,182,2009-10-19,Локомотив,Северсталь,1:0,0:0,0:1,1:0,:
182,183,2009-10-19,ХК МВД,СКА,0:1,0:1,0:2,:,:
183,184,2009-10-19,Спартак,Атлант,0:0,1:0,1:1,:,:
184,185,2009-10-20,Ак Барс,Трактор,0:0,0:0,2:2,1:0,:
185,186,2009-10-20,Нефтехимик,Автомобилист,3:3,3:2,1:1,:,:
186,187,2009-10-20,Лада,Металлург Мг,1:0,1:0,3:1,:,:
187,188,2009-10-20,Динамо Р,Металлург Нк,2:0,0:0,2:2,:,:
188,189,2009-10-20,Динамо Мн,Амур,1:2,0:0,0:2,:,:
189,190,2009-10-20,Динамо М,Сибирь,0:0,3:1,0:1,:,:
190,191,2009-10-21,Салават Юлаев,Витязь,1:0,2:1,3:0,:,:
191,192,2009-10-21,Барыс,Торпедо,1:0,2:0,1:2,:,:
192,193,2009-10-21,Авангард,ЦСКА,1:0,0:0,0:0,:,:
193,194,2009-10-21,Локомотив,Атлант,1:1,1:0,2:1,:,:
194,195,2009-10-21,ХК МВД,Северсталь,0:1,1:2,3:1,0:0,0:1
195,196,2009-10-21,Спартак,СКА,1:4,1:0,1:1,:,:
196,197,2009-10-22,Ак Барс,Автомобилист,1:0,2:1,1:0,:,:
197,198,2009-10-22,Нефтехимик,Металлург Мг,0:1,0:1,0:2,:,:
198,199,2009-10-22,Лада,Трактор,2:0,1:0,0:2,:,:
199,200,2009-10-22,Динамо Р,Сибирь,1:1,1:2,1:2,:,:
200,201,2009-10-22,Динамо Мн,Металлург Нк,1:1,0:2,1:1,:,:
201,202,2009-10-22,Динамо М,Амур,1:1,3:1,2:0,:,:
202,203,2009-10-23,Барыс,Витязь,1:1,1:0,1:0,:,:
203,204,2009-10-23,Авангард,Торпедо,2:0,1:0,0:0,:,:
204,205,2009-10-23,Спартак,Северсталь,1:0,2:0,0:1,:,:
205,206,2009-10-24,Динамо Мн,Сибирь,1:1,0:2,0:1,:,:
206,207,2009-10-24,Динамо М,Металлург Нк,0:0,0:0,1:0,:,:
207,208,2009-10-24,СКА,Салават Юлаев,1:1,1:2,1:2,:,:
208,209,2009-10-24,ХК МВД,Амур,1:1,2:0,0:0,:,:
209,210,2009-10-25,Автомобилист,Лада,0:0,0:0,2:1,:,:
210,211,2009-10-25,Металлург Мг,Ак Барс,1:3,3:0,1:0,:,:
211,212,2009-10-25,Трактор,Нефтехимик,1:1,1:3,2:2,:,:
212,213,2009-10-25,Северсталь,Локомотив,2:0,0:3,0:0,:,:
213,214,2009-10-25,Авангард,Витязь,1:1,0:1,0:0,:,:
214,215,2009-10-26,Динамо Р,Динамо М,0:0,0:3,2:1,:,:
215,216,2009-10-26,СКА,Барыс,1:1,1:1,0:0,0:0,1:0
216,217,2009-10-26,Атлант,Салават Юлаев,0:1,0:3,0:2,:,:
217,218,2009-10-27,Амур,Лада,0:0,2:1,1:0,:,:
218,219,2009-10-27,Сибирь,Нефтехимик,1:0,0:1,1:2,:,:
219,220,2009-10-27,Металлург Нк,Ак Барс,1:0,2:1,2:1,:,:
220,221,2009-10-27,Автомобилист,Локомотив,1:3,1:3,1:0,:,:
221,222,2009-10-27,Металлург Мг,ХК МВД,1:1,1:0,1:1,:,:
222,223,2009-10-27,Трактор,Спартак,0:1,2:0,1:2,0:0,1:0
223,224,2009-10-27,Торпедо,Витязь,2:3,1:0,2:1,:,:
224,225,2009-10-28,Динамо М,Динамо Мн,0:3,1:2,0:0,:,:
225,226,2009-10-28,СКА,Авангард,1:0,1:1,0:1,0:0,0:1
226,227,2009-10-28,Северсталь,Салават Юлаев,0:1,0:2,1:4,:,:
227,228,2009-10-28,Атлант,Барыс,0:0,0:2,0:1,:,:
228,229,2009-10-28,ЦСКА,Динамо Р,3:0,2:1,0:2,:,:
229,230,2009-10-29,Амур,Нефтехимик,1:0,0:0,1:1,:,:
230,231,2009-10-29,Сибирь,Ак Барс,1:1,1:1,2:5,:,:
231,232,2009-10-29,Металлург Нк,Лада,0:0,2:1,1:0,:,:
232,233,2009-10-29,Автомобилист,ХК МВД,0:0,2:2,0:0,0:0,1:0
233,234,2009-10-29,Металлург Мг,Спартак,2:0,1:1,2:1,:,:
234,235,2009-10-29,Трактор,Локомотив,1:4,0:2,0:0,:,:
235,236,2009-10-30,Динамо Р,СКА,3:0,1:0,0:1,:,:
236,237,2009-10-30,Динамо Мн,ЦСКА,2:0,0:1,0:0,:,:
237,238,2009-10-30,Северсталь,Барыс,0:0,0:1,1:2,:,:
238,239,2009-10-30,Атлант,Авангард,0:0,1:2,1:0,0:0,1:0
239,240,2009-10-31,Амур,Ак Барс,0:2,3:2,0:2,:,:
240,241,2009-10-31,Сибирь,Лада,1:0,1:2,0:0,0:0,1:0
241,242,2009-10-31,Металлург Нк,Нефтехимик,0:1,0:0,1:2,:,:
242,243,2009-10-31,Автомобилист,Спартак,2:1,0:1,1:1,0:1,:
243,244,2009-10-31,Металлург Мг,Локомотив,1:1,0:0,0:0,1:0,:
244,245,2009-10-31,Трактор,ХК МВД,0:2,0:2,0:3,:,:
245,246,2009-11-01,Динамо Мн,Динамо Р,1:0,0:0,0:1,1:0,:
246,247,2009-11-01,СКА,ЦСКА,2:0,3:2,0:1,:,:
247,248,2009-11-01,Северсталь,Авангард,1:0,1:0,1:3,0:0,1:0
248,249,2009-11-01,Торпедо,Атлант,0:4,0:4,2:0,:,:
249,250,2009-11-01,Салават Юлаев,Барыс,1:0,1:1,2:2,:,:
250,251,2009-11-11,ЦСКА,Атлант,1:1,0:2,1:0,:,:
251,252,2009-11-11,Торпедо,Северсталь,2:1,3:2,1:1,:,:
252,253,2009-11-11,Витязь,СКА,0:1,1:1,0:2,:,:
253,254,2009-11-11,Локомотив,Амур,2:1,1:2,0:0,0:0,1:0
254,255,2009-11-11,Спартак,Металлург Нк,0:0,2:0,1:0,:,:
255,256,2009-11-12,Ак Барс,Динамо Р,0:1,0:1,1:1,:,:
256,257,2009-11-12,Нефтехимик,Динамо М,1:0,0:3,0:0,:,:
257,258,2009-11-12,Лада,Динамо Мн,1:1,2:1,0:1,0:0,0:1
258,259,2009-11-12,Салават Юлаев,Трактор,1:0,3:0,1:0,:,:
259,260,2009-11-12,Барыс,Металлург Мг,3:0,2:0,2:1,:,:
260,261,2009-11-12,Авангард,Автомобилист,0:1,3:1,1:2,0:1,:
261,262,2009-11-13,Атлант,Витязь,2:2,0:0,1:1,0:0,1:0
262,263,2009-11-13,ЦСКА,Северсталь,0:1,1:0,0:0,0:0,0:1
263,264,2009-11-13,Торпедо,СКА,1:2,1:1,0:2,:,:
264,265,2009-11-13,Локомотив,Сибирь,1:0,3:0,3:0,:,:
265,266,2009-11-13,ХК МВД,Металлург Нк,0:0,1:1,1:0,:,:
266,267,2009-11-13,Спартак,Амур,0:0,0:1,2:2,:,:
267,268,2009-11-14,Ак Барс,Динамо Мн,1:0,2:1,1:0,:,:
268,269,2009-11-14,Нефтехимик,Динамо Р,0:3,1:0,2:2,:,:
269,270,2009-11-14,Лада,Динамо М,0:0,1:1,0:0,0:0,1:0
270,271,2009-11-14,Салават Юлаев,Металлург Мг,0:1,2:1,1:0,:,:
271,272,2009-11-14,Барыс,Автомобилист,2:3,2:1,0:0,1:0,:
272,273,2009-11-14,Авангард,Трактор,2:1,3:0,1:0,:,:
273,274,2009-11-15,ЦСКА,СКА,1:1,1:3,0:1,:,:
274,275,2009-11-15,Торпедо,Атлант,1:0,0:4,1:3,:,:
275,276,2009-11-15,Витязь,Северсталь,4:0,1:0,0:2,:,:
276,277,2009-11-15,Локомотив,Металлург Нк,2:1,1:1,0:0,:,:
277,278,2009-11-15,ХК МВД,Сибирь,3:0,1:1,1:0,:,:
278,279,2009-11-16,Ак Барс,Динамо М,0:0,0:0,1:1,1:0,:
279,280,2009-11-16,Нефтехимик,Динамо Мн,0:0,2:0,2:1,:,:
280,281,2009-11-16,Лада,Динамо Р,1:2,2:0,0:0,:,:
281,282,2009-11-16,Салават Юлаев,Автомобилист,1:1,0:0,2:2,1:0,:
282,283,2009-11-16,Барыс,Трактор,2:2,0:1,1:2,:,:
283,284,2009-11-16,Авангард,Металлург Мг,1:1,0:0,0:0,0:0,0:1
284,285,2009-11-17,Амур,Сибирь,0:1,0:5,1:0,:,:
285,286,2009-11-17,СКА,Спартак,2:1,1:2,0:0,0:1,:
286,287,2009-11-17,Северсталь,Атлант,2:1,0:0,1:0,:,:
287,288,2009-11-17,Торпедо,ХК МВД,2:2,0:1,1:2,:,:
288,289,2009-11-17,Витязь,Локомотив,0:3,4:3,1:3,:,:
289,290,2009-11-18,Ак Барс,Металлург Мг,2:0,1:1,0:0,:,:
290,291,2009-11-18,Нефтехимик,Трактор,1:2,2:0,0:1,1:0,:
291,292,2009-11-18,Лада,Автомобилист,0:1,0:2,0:0,:,:
292,293,2009-11-18,Амур,Сибирь,2:2,0:0,0:0,0:0,1:0
293,294,2009-11-18,Барыс,Авангард,0:0,1:1,1:1,1:0,:
294,295,2009-11-19,Динамо Р,Спартак,2:1,3:1,1:2,:,:
295,296,2009-11-19,Динамо Мн,ХК МВД,0:3,0:2,1:0,:,:
296,297,2009-11-19,Динамо М,Локомотив,2:1,1:0,1:1,:,:
297,298,2009-11-19,СКА,Северсталь,1:0,1:0,1:0,:,:
298,299,2009-11-20,Ак Барс,Лада,1:0,3:0,0:1,:,:
299,300,2009-11-20,Салават Юлаев,Авангард,3:2,0:1,2:2,1:0,:
300,301,2009-11-21,Динамо Р,Локомотив,1:1,1:1,0:0,0:0,0:1
301,302,2009-11-21,Динамо Мн,Спартак,1:1,0:2,1:2,:,:
302,303,2009-11-21,Автомобилист,Витязь,4:1,3:1,1:1,:,:
303,304,2009-11-21,Металлург Мг,Торпедо,0:1,1:0,0:2,:,:
304,305,2009-11-21,Трактор,ЦСКА,0:0,1:1,0:3,:,:
305,306,2009-11-21,Атлант,Северсталь,1:1,4:2,0:2,0:0,1:0
306,307,2009-11-21,ХК МВД,Динамо М,1:1,1:2,1:1,:,:
307,308,2009-11-22,Нефтехимик,Ак Барс,0:0,3:3,2:0,:,:
308,309,2009-11-22,Сибирь,Барыс,1:1,2:1,2:1,:,:
309,310,2009-11-22,Металлург Нк,Салават Юлаев,0:1,0:1,0:1,:,:
310,311,2009-11-23,Динамо Р,ХК МВД,0:1,1:1,0:0,:,:
311,312,2009-11-23,Динамо Мн,Локомотив,3:0,0:1,0:2,0:0,1:0
312,313,2009-11-23,Динамо М,Спартак,0:2,1:2,0:0,:,:
313,314,2009-11-23,Автомобилист,Торпедо,0:0,0:0,0:1,:,:
314,315,2009-11-23,Металлург Мг,ЦСКА,0:1,0:1,0:1,:,:
315,316,2009-11-23,Трактор,Витязь,0:1,1:2,2:0,0:0,0:1
316,317,2009-11-23,СКА,Атлант,0:0,1:0,3:1,:,:
317,318,2009-11-24,Лада,Ак Барс,1:0,0:0,0:2,:,:
318,319,2009-11-24,Сибирь,Салават Юлаев,2:0,1:0,1:2,:,:
319,320,2009-11-24,Металлург Нк,Барыс,0:0,1:1,1:1,0:1,:
320,321,2009-11-24,Авангард,Амур,1:0,2:1,4:0,:,:
321,322,2009-11-25,Автомобилист,ЦСКА,0:0,0:3,1:1,:,:
322,323,2009-11-25,Металлург Мг,Витязь,2:0,2:0,1:3,:,:
323,324,2009-11-25,Трактор,Торпедо,0:3,0:0,1:1,:,:
324,325,2009-11-26,Лада,Нефтехимик,3:1,0:1,0:1,0:1,:
325,326,2009-11-26,Динамо Мн,Динамо М,2:2,1:0,1:0,:,:
326,327,2009-11-26,Сибирь,Металлург Нк,1:0,0:0,2:0,:,:
327,328,2009-11-26,СКА,Динамо Р,1:2,1:0,0:0,1:0,:
328,329,2009-11-26,Барыс,Амур,2:0,1:1,1:2,:,:
329,330,2009-11-26,ХК МВД,Атлант,1:0,1:2,0:0,0:1,:
330,331,2009-11-27,Трактор,Металлург Мг,0:0,0:2,1:0,:,:
331,332,2009-11-27,Северсталь,Витязь,3:2,1:2,0:0,1:0,:
332,333,2009-11-27,Спартак,ЦСКА,0:1,2:0,1:1,:,:
333,334,2009-11-28,Ак Барс,Нефтехимик,2:2,2:0,1:1,:,:
334,335,2009-11-28,Динамо Мн,СКА,1:1,0:2,1:1,:,:
335,336,2009-11-28,Салават Юлаев,Сибирь,1:1,2:0,3:0,:,:
336,337,2009-11-28,Барыс,Металлург Нк,1:0,1:0,1:2,:,:
337,338,2009-11-28,Локомотив,Динамо Р,0:1,1:1,1:0,0:0,0:1
338,339,2009-11-29,Амур,Авангард,1:2,1:0,0:0,0:1,:
339,340,2009-11-29,ЦСКА,Трактор,0:1,2:1,1:0,:,:
340,341,2009-11-29,Торпедо,Металлург Мг,0:3,1:1,1:0,:,:
341,342,2009-11-29,Витязь,Автомобилист,0:0,2:1,1:2,0:1,:
342,343,2009-11-30,Нефтехимик,Лада,5:0,3:1,1:1,:,:
343,344,2009-11-30,Амур,Авангард,0:2,1:1,0:1,:,:
344,345,2009-11-30,Северсталь,Атлант,1:4,0:1,0:0,:,:
345,346,2009-11-30,Салават Юлаев,Металлург Нк,1:1,2:0,1:1,:,:
346,347,2009-11-30,Барыс,Сибирь,0:3,2:1,1:0,:,:
