,Номер,Дата,Команда_1,Команда_2,Период_1,Период_2,Период_3,Овертайм,Буллиты
0,1,2009-09-10,Ак Барс,Локомотив,1:1,0:0,1:1,1:0,:
1,2,2009-09-11,Динамо М,ЦСКА,1:1,1:0,0:1,0:1,:
2,3,2009-09-11,Металлург Нк,Сибирь,2:0,0:0,0:1,:,:
3,4,2009-09-11,Металлург Мг,Автомобилист,1:0,0:1,2:0,:,:
4,5,2009-09-11,Витязь,Торпедо,3:1,1:1,0:0,:,:
5,6,2009-09-12,Ак Барс,Спартак,0:1,0:1,1:2,:,:
6,7,2009-09-12,Нефтехимик,Локомотив,3:0,1:1,0:2,:,:
7,8,2009-09-12,Лада,ХК МВД,2:0,1:2,2:1,:,:
8,9,2009-09-12,Динамо Р,Салават Юлаев,1:1,0:2,0:2,:,:
9,10,2009-09-12,СКА,Динамо Мн,0:0,1:0,1:0,:,:
10,11,2009-09-12,Барыс,Авангард,0:0,0:0,0:0,1:0,:
11,12,2009-09-13,Амур,ЦСКА,0:0,2:1,1:1,:,:
12,13,2009-09-13,Сибирь,Торпедо,1:0,0:1,2:2,0:1,:
13,14,2009-09-13,Металлург Нк,Витязь,0:1,0:1,1:1,:,:
14,15,2009-09-13,Автомобилист,Северсталь,0:0,1:3,0:1,:,:
15,16,2009-09-13,Трактор,Атлант,1:2,1:1,1:1,:,:
16,17,2009-09-14,Ак Барс,ХК МВД,0:0,0:0,0:0,1:0,:
17,18,2009-09-14,Нефтехимик,Спартак,0:1,1:3,1:0,:,:
18,19,2009-09-14,Лада,Локомотив,1:0,3:4,0:0,0:1,:
19,20,2009-09-14,Динамо Р,Авангард,1:4,2:1,1:0,:,:
20,21,2009-09-14,Динамо Мн,Салават Юлаев,0:0,2:1,0:1,0:0,1:0
21,22,2009-09-14,Динамо М,Барыс,2:1,2:1,1:2,:,:
22,23,2009-09-15,Амур,Торпедо,0:0,1:0,0:3,:,:
23,24,2009-09-15,Сибирь,Витязь,1:1,3:1,0:2,0:0,1:0
24,25,2009-09-15,Металлург Нк,ЦСКА,1:0,1:2,0:1,:,:
25,26,2009-09-15,Автомобилист,СКА,1:2,0:1,0:1,:,:
26,27,2009-09-15,Металлург Мг,Атлант,0:0,1:0,1:0,:,:
27,28,2009-09-15,Трактор,Северсталь,1:2,1:1,4:1,:,:
28,29,2009-09-16,Нефтехимик,ХК МВД,2:0,1:4,1:2,:,:
29,30,2009-09-16,Лада,Спартак,1:0,2:4,0:2,:,:
30,31,2009-09-16,Динамо Р,Барыс,0:1,1:2,1:1,:,:
31,32,2009-09-16,Динамо Мн,Авангард,1:0,1:0,0:1,:,:
32,33,2009-09-16,Динамо М,Салават Юлаев,0:0,2:3,1:2,:,:
33,34,2009-09-17,Амур,Витязь,2:1,1:0,1:1,:,:
34,35,2009-09-17,Сибирь,ЦСКА,1:0,0:1,0:0,0:0,1:0
35,36,2009-09-17,Металлург Нк,Торпедо,1:1,2:1,0:0,:,:
36,37,2009-09-17,Автомобилист,Атлант,0:1,1:0,0:0,0:0,1:0
37,38,2009-09-17,Металлург Мг,Северсталь,2:0,0:0,0:0,:,:
38,39,2009-09-17,Трактор,СКА,2:0,0:1,1:1,:,:
39,40,2009-09-18,Динамо Мн,Барыс,0:0,0:1,1:1,:,:
40,41,2009-09-18,Динамо М,Авангард,2:1,0:0,0:0,:,:
41,42,2009-09-18,Локомотив,ХК МВД,2:1,0:0,2:0,:,:
42,43,2009-09-19,Металлург Мг,СКА,0:0,0:1,0:0,:,:
43,44,2009-09-19,Салават Юлаев,Амур,2:0,1:1,1:1,:,:
44,45,2009-09-19,Спартак,Динамо Р,1:2,0:1,0:2,:,:
45,46,2009-09-20,Ак Барс,Нефтехимик,1:1,1:1,0:1,:,:
46,47,2009-09-20,Трактор,Автомобилист,0:1,1:1,3:1,:,:
47,48,2009-09-20,Локомотив,Витязь,0:2,1:0,1:0,1:0,:
48,49,2009-09-21,Северсталь,Металлург Нк,0:1,0:0,1:2,:,:
49,50,2009-09-21,Атлант,Амур,0:1,2:0,2:0,:,:
50,51,2009-09-21,Спартак,Сибирь,1:0,2:0,1:1,:,:
51,52,2009-09-22,Автомобилист,Металлург Мг,0:1,0:1,1:1,:,:
52,53,2009-09-22,ЦСКА,Динамо М,2:1,0:3,2:0,0:0,1:0
53,54,2009-09-22,Торпедо,Динамо Мн,1:2,1:1,1:2,:,:
54,55,2009-09-22,Витязь,Динамо Р,1:2,0:2,2:1,:,:
55,56,2009-09-22,Салават Юлаев,Нефтехимик,0:0,3:1,4:1,:,:
56,57,2009-09-22,Барыс,Лада,0:0,0:1,1:0,0:0,1:0
57,58,2009-09-22,Авангард,Ак Барс,0:1,2:0,1:0,:,:
58,59,2009-09-22,ХК МВД,Локомотив,1:1,1:1,2:0,:,:
59,60,2009-09-23,СКА,Металлург Нк,1:1,2:2,0:0,0:0,0:1
60,61,2009-09-23,Северсталь,Амур,0:0,3:1,1:0,:,:
61,62,2009-09-23,Атлант,Сибирь,0:0,2:2,2:0,:,:
62,63,2009-09-24,Металлург Мг,Трактор,1:0,2:1,1:1,:,:
63,64,2009-09-24,ЦСКА,Динамо Мн,3:2,1:0,0:1,:,:
64,65,2009-09-24,Торпедо,Динамо Р,1:2,3:0,3:0,:,:
65,66,2009-09-24,Витязь,Динамо М,0:0,1:1,1:0,:,:
66,67,2009-09-24,Салават Юлаев,Лада,1:1,0:0,0:2,:,:
